"","research_id","respondent_id","response_id","object","original_response","cleaned_response","originality_rater01","originality_rater02"
"1","CES201802",1309,18796,"brick","maken","",0,1
"2","CES201802",1368,19276,"brick","kunt","",0,0
"3","CES201802",1422,19725,"brick","Veel","",0,0
"4","CES201802",1484,20230,"brick","'","",0,0
"5","CES201802",1484,20231,"brick","'","",0,0
"6","CES201802",1717,21981,"brick","...","",0,0
"7","CES201802",1889,23390,"brick","maken","",0,1
"8","CES201802",1897,23460,"brick","maken","",0,1
"9","CES201802",1731,22080,"brick","Aaien","aaien",4,4
"10","CES201802",1519,20528,"brick","als aandenken aan iets in je kamer leggen","aandenken kamer leggen",3,3
"11","CES201802",1690,21800,"brick","aangeven van een plek","aangeven plek",2,3
"12","CES201802",1881,23303,"brick","aannemer","aannemer",0,0
"13","CES201802",1875,23261,"brick","aanschouwen","aanschouwen",3,3
"14","CES201802",1308,18787,"brick","als accessoire gebruiken","accessoire",3,3
"15","CES201802",1449,19928,"brick","als assecoire ","accessoire",3,3
"16","CES201802",1847,23043,"brick","accessoire","accessoire",3,3
"17","CES201802",1608,21123,"brick","assesoires","accessoires",3,3
"18","CES201802",1552,20838,"brick","afbakening","afbakening",2,2
"19","CES201802",1735,22113,"brick","afbouwen","afbouwen",3,1
"20","CES201802",1722,22016,"brick","afbreken","afbreken",2,2
"21","CES201802",1632,21325,"brick","afdakje","afdakje",4,1
"22","CES201802",1337,19053.6,"brick"," iets afdekken","afdekken",3,1
"23","CES201802",1286,18574,"brick","afdichten","afdichten",3,1
"24","CES201802",1707,21904,"brick","afkoelplaat","afkoelplaat",4,4
"25","CES201802",1419,19650,"brick","als afscheiding van een tuin","afscheiding tuin",2,2
"26","CES201802",1833,22900,"brick","afsluiten","afsluiten",3,2
"27","CES201802",1896,23451,"brick","afzetting","afzetting",2,2
"28","CES201802",1422,19719,"brick","Agressie","agressie",0,0
"29","CES201802",1278,18507,"brick","agressie afreageer middel","agressie afreageren middel",2,3
"30","CES201802",1734,22101,"brick","agressieopvanger","agressie opvangen",2,3
"31","CES201802",1314,18837,"brick","agressie uiten","agressie uiten",2,3
"32","CES201802",1433,19783,"brick","doen alsof het een telefoon is","alsof telefoon",4,4
"33","CES201802",1278,18508,"brick","alternatief krijt","alternatief krijt",4,3
"34","CES201802",1278,18514,"brick","alternatieve dildo","alternatieve dildo",4,3
"35","CES201802",1278,18516,"brick","alternatieve heroine","alternatieve heroïne",4,4
"36","CES201802",1702,21874,"brick","alternatieve kunst","alternatieve kunst",3,3
"37","CES201802",1278,18506,"brick","alternatieve plant","alternatieve plant",4,4
"38","CES201802",1340,19059,"brick","iets anders bouwen","anders bouwen",1,1
"39","CES201802",1360,19219,"brick","Anker","anker",4,3
"40","CES201802",1433,19786,"brick","gebruiken als anker","anker",4,3
"41","CES201802",1468,20100,"brick","anker","anker",4,3
"42","CES201802",1474,20165,"brick","anker","anker",4,3
"43","CES201802",1553,20776,"brick","anker","anker",4,3
"44","CES201802",1873,23243,"brick","appartement","appartement",1,1
"45","CES201802",1422,19724,"brick","Architectuur","architectuur",1,1
"46","CES201802",1521,20538,"brick","archtectuur maken","architectuur",1,1
"47","CES201802",1562,20880,"brick","architectuur","architectuur",1,1
"48","CES201802",1358,19214,"brick","armleuning","armleuning",3,3
"49","CES201802",1360,19218,"brick","Armleuning","armleuning",3,3
"50","CES201802",1724,22035,"brick","armleuninh","armleuning",3,3
"51","CES201802",1734,22097,"brick","asbak","asbak",3,3
"52","CES201802",1831,22880,"brick","of als asbak","asbak",3,3
"53","CES201802",1536,20673,"brick","Asfalt leggen","asfalt leggen",2,1
"54","CES201802",1368,19271,"brick","attribute ","attributen",2,2
"55","CES201802",1509,20443,"brick","gebruiken als attribuut","attribuut",2,2
"56","CES201802",1704,21887,"brick","auto van maken","auto",4,4
"57","CES201802",1611,21136,"brick","auto omhoog zetten zonder banden","auto omhoog zetten banden",3,3
"58","CES201802",1480,20194,"brick","auto op zijn plaats houd ding","auto plaats houd ding",2,2
"59","CES201802",1654,21509,"brick","badkuip","badkuip",0,3
"60","CES201802",1422,19706,"brick","Bak","bak",2,2
"61","CES201802",1755,22272,"brick","bak","bak",2,2
"62","CES201802",1554,20789,"brick","een bak maken waarin je aarde en bloemen in kan planten","bak waarin aarde bloemen planten",2,2
"63","CES201802",1755,22275,"brick","bakje is handig","bakje handig",2,2
"64","CES201802",1309,18790,"brick","bakken","bakken",2,2
"65","CES201802",1322,18894,"brick","bakken","bakken",2,2
"66","CES201802",1344,19100,"brick","bakken ","bakken",2,2
"67","CES201802",1366,19266,"brick","iets op bakken","bakken",3,2
"68","CES201802",1590,21043,"brick","bakken","bakken",2,2
"69","CES201802",1735,22104,"brick","bakken","bakken",2,2
"70","CES201802",1861,23139,"brick","bakken","bakken",2,2
"71","CES201802",1874,23226,"brick","bakken","bakken",2,2
"72","CES201802",1875,23254,"brick","bakken","bakken",2,2
"73","CES201802",1667,21613,"brick","bakken van een steen","bakken steen",2,2
"74","CES201802",1667,21614,"brick","bakkers teen","bakkers teen",0,2
"75","CES201802",1424,19675,"brick","bakplaat","bakplaat",3,2
"76","CES201802",1406,19525,"brick","baksteen als deurstopper","baksteen deurstopper",2,2
"77","CES201802",1673,21678,"brick","de baksteen gebruiken als gewicht tijdens het sproten","baksteen gewicht tijdens sproten",3,3
"78","CES201802",1316,18858,"brick","baksteen gooien als sport","baksteen gooien sport",3,2
"79","CES201802",1406,19524,"brick","Baksteen muur","baksteen muur",1,1
"80","CES201802",1845,23007,"brick","je kan de baksteen verven","baksteen verven",3,2
"81","CES201802",1410,19583,"brick","baksteen werpen (ipv balwerpen)","baksteen werpen",3,2
"82","CES201802",1434,19810,"brick","baksteen werpen","baksteen werpen",3,2
"83","CES201802",1702,21876,"brick","twee bakstenen: een doel voor voetbal","bakstenen doel voetbal",3,3
"84","CES201802",1406,19526,"brick","bakstene douche","bakstenen douche",2,2
"85","CES201802",1406,19527,"brick","Bakstene grond","bakstenen grond",1,1
"86","CES201802",1678,21697,"brick","bakstenen muur in huis","bakstenen muur huis",1,1
"87","CES201802",1667,21615,"brick","bakstenen vloer","bakstenen vloer",1,1
"88","CES201802",1458,20009,"brick","bal","bal",3,4
"89","CES201802",1632,21327,"brick","bal","bal",3,4
"90","CES201802",1734,22100,"brick","bal","bal",3,4
"91","CES201802",1788,22512,"brick","bal","bal",3,4
"92","CES201802",1802,22635,"brick","bal","bal",3,4
"93","CES201802",1831,22881,"brick","bal","bal",3,4
"94","CES201802",1836,22926,"brick","bal","bal",3,4
"95","CES201802",1844,22983,"brick","bal","bal",3,4
"96","CES201802",1847,23046,"brick","bal","bal",3,4
"97","CES201802",1462,20034,"brick","bal uit het water halen","bal water halen",3,3
"98","CES201802",1469,20124,"brick","balanseer paal","balanceer paal",3,3
"99","CES201802",1569,20939.1,"brick","gebruiken om op te balanseren","balanceren",3,3
"100","CES201802",1847,23044,"brick","balans","balans",3,3
"101","CES201802",1657,21558,"brick","balansvoorwerp","balansvoorwerp",3,3
"102","CES201802",1764,22336,"brick","balansvoorwerp op hoofd","balansvoorwerp hoofd",4,3
"103","CES201802",1326,18945,"brick","gebruiken als balk","balk",3,3
"104","CES201802",1626,21267,"brick","balkon","balkon",2,2
"105","CES201802",1799,22625,"brick","ballon met een touwtje aan de grond houden die je vast knoopt aan een baksteen","ballon touwtje grond houden vast knoopt baksteen",3,2
"106","CES201802",1474,20168,"brick","balonverzwaring","ballonverzwaring",3,2
"107","CES201802",1757,22288,"brick","balspel","balspel",3,3
"108","CES201802",1633,21330,"brick","Banden vastzetten zodat de auto niet rolt","banden vastzetten zodat auto niet rolt",2,2
"109","CES201802",1296,18665,"brick","bank","bank",3,2
