id,item,response,rater1,rater2,rater3,average
1,brick,necklace,2,1,2,1.67
1,brick,shoes,1,1,2,1.33
1,brick,car,2,1,1,1.33
1,brick,hat,1,1,2,1.33
1,brick,plate,2,2,2,2
1,brick,coat,2,2,1,1.67
1,brick,table,1,1,1,1
1,brick,bed,1,1,2,1.33
1,brick,ball,1,1,2,1.33
1,brick,carpet,1,2,2,1.67
1,brick,sofa,1,1,1,1
1,brick,court,1,1,1,1
1,brick,ring,2,1,2,1.67
2,brick,putting a under a leg of a table to make it level out evenly,2,1,2,1.67
2,brick,using to contain a fire by building a little wall around the fire,1,1,2,1.33
2,brick,using a as a hammer,1,1,1,1
2,brick,using a as a writing surface,1,2,2,1.67
3,brick,weight for a pully system,1,1,2,1.33
3,brick,hammer,1,1,1,1
3,brick,kill a bug,1,1,1,1
3,brick,cut and hollow and make a box that can be hidden in the wall under the disguise of a regular,3,1,5,3
3,brick,to break a window,1,1,1,1
3,brick,uses pieces to create a work of art,1,1,2,1.33
3,brick,ammunition for a big sling shot,1,1,3,1.67
3,brick,add wheels and other items to make it into a car,2,2,2,2
3,brick,put it in a wall next to a door that is locked...you open the face of the and it reveals a keypad in the...you put in the pass code and the door will open...it is a hidden security measure,2,2,5,3
3,brick,prop it against the gas pedal of a car so the car will go without anyone inside,1,1,2,1.33
4,brick,using the as a flower holder,4,2,3,3
4,brick,using it as a weapon,1,1,2,1.33
4,brick,paint on the to make an art work,1,1,2,1.33
4,brick,use the  as a sharp tool to cut leaves,2,1,3,2
4,brick,imaginatively  use the holes of the as a peeping hole for childhood play roles.,2,2,5,3
4,brick,place items in between the holes to create holders.,3,1,3,2.33
4,brick,break the into small pieces and use it in art works,2,1,3,2
4,brick,use a as something to weigh down objects.,1,1,1,1
4,brick,put two sticks through the with 4 wheels to create a car.,3,3,3,3
4,brick,use the to scrape along sidewalks to create images or designs or art work,3,1,3,2.33
4,brick,put the on a sheet of paper; spray painting to create lines and art,1,2,3,2
4,brick,use the as a subject in art work  so you can study the shape and different shadows that it can present,1,1,3,1.67
4,brick,tie strings to the and hang it off a tree  to give it an illusional effect of floating in the air from afar.,2,2,4,2.67
5,brick,You can use a to lift weights,1,1,2,1.33
5,brick,You can use a in a throwing contest to see who is the strongest,1,1,2,1.33
5,brick,"You can use a to make a (brickman) ""snowman""",3,3,4,3.33
5,brick,You can use a for a scare tactic,1,1,3,1.67
5,brick,You can use a to assist in research,1,1,2,1.33
5,brick,You can use pieces of a to make tattoo,2,3,4,3
6,brick,a stepping stool,1,1,2,1.33
6,brick,something to draw on,1,1,2,1.33
6,brick,put together to build something,1,1,1,1
6,brick,take a and toss it back and forth,1,1,2,1.33
6,brick,make a pet,1,1,2,1.33
6,brick,have a throwing competition,1,1,2,1.33
6,brick,cut a into pieces and make a mosaic,3,1,5,3
6,brick,use the holes in the as a planting bowl,4,2,3,3
6,brick,use the to build a fort,1,1,1,1
6,brick,use a for the stand of a firework display (they're fire repellant I think),2,1,3,2
6,brick,use the as a weapon when in danger,1,1,2,1.33
6,brick,paint the and use them as decorations,1,1,2,1.33
6,brick,use them as weights when you are working out,1,1,2,1.33
6,brick,"use it for a tic tac toe board  using rocks and sticks are x""s and o""s",3,3,4,3.33
6,brick,draw on it with chalk like it was a chalk board,1,2,2,1.67
6,brick,list more creative ideas of how to use a then I am on this computer,1,1,1,1
7,brick,Paperweight,1,1,1,4.33
7,brick,carve it into sculpture,2,1,2,1.67
7,brick,hollow it out ad use for a container,3,2,3,2.67
7,brick,nail file,3,2,2,2.33
7,brick,building a house,1,1,1,1
7,brick,weight for weight lifting,1,1,2,1.33
7,brick,as a shoe cleaner  to scrape the bottom of your shoes on,2,2,3,2.33
7,brick,as a stone  to help build a makeshift dam,1,1,2,1.33
