ID,prompt,cse1,cse2,cse3,cse4,cse5,cse6,cse7,cse8,cse9,cse10,cse11,age,sex,response_1,rater1_1,rater2_1,rater3_1,response_2,rater1_2,rater2_2,rater3_2,response_3,rater1_3,rater2_3,rater3_3,response_4,rater1_4,rater2_4,rater3_4,response_5,rater1_5,rater2_5,rater3_5,response_6,rater1_6,rater2_6,rater3_6,response_7,rater1_7,rater2_7,rater3_7,response_8,rater1_8,rater2_8,rater3_8,response_9,rater1_9,rater2_9,rater3_9,response_10,rater1_10,rater2_10,rater3_10,response_11,rater1_11,rater2_11,rater3_11,response_12,rater1_12,rater2_12,rater3_12,response_13,rater1_13,rater2_13,rater3_13,response_14,rater1_14,rater2_14,rater3_14,response_15,rater1_15,rater2_15,rater3_15,response_16,rater1_16,rater2_16,rater3_16,response_17,rater1_17,rater2_17,rater3_17,response_18,rater1_18,rater2_18,rater3_18,response_19,rater1_19,rater2_19,rater3_19,response_20,rater1_20,rater2_20,rater3_20,response_21,rater1_21,rater2_21,rater3_21
1,ladrillo,4,4,5,5,5,4,4,5,4,4,3,19,0,construir inmuebles,1,1,1,asientos,2,2,2,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ladrillo,4,3,4,4,4,5,4,4,4,4,5,22,1,juegos o juguetes,4,2,2,herramienta,3,2,2,escaleras o escalones,2,1,1,fogatas,3,1,1,pintar o dibujar,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ladrillo,4,4,4,4,3,4,5,4,3,4,4,22,0,construir inmuebles,1,1,1,escaleras o escalones,2,2,1,soporte o base,2,1,1,equilibrar o balancear,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ladrillo,5,3,5,5,5,4,3,3,4,5,3,22,0,construir inmuebles,1,1,1,mesas,2,2,2,juegos o juguetes,4,2,2,delimitar superficies ,3,2,2,soporte o base,2,1,1,equilibrar o balancear,3,2,2,asientos,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ladrillo,4,5,5,5,4,4,4,4,3,4,5,19,0,construir inmuebles,1,1,1,asientos,2,2,2,soporte o base,2,1,1,"obstáculo para detener, frenar o topar",3,2,2,pintar o dibujar,3,2,2,pisa papeles,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ladrillo,4,4,3,4,3,2,4,4,3,4,4,20,1,construir inmuebles,1,1,1,asientos,2,2,2,esculturas,5,2,1,"tallar, grabar o rayar",3,2,2,escribir,3,2,2,pesas deporte,4,3,3,pisos,2,2,1,romper o destruir ,4,2,2,equilibrar o balancear,3,2,2,juegos o juguetes,4,2,2,moldear o aplanar,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ladrillo,5,5,4,4,5,3,5,4,5,5,5,20,0,construir inmuebles,1,1,1,,,,,soporte o base,2,1,1,pisos,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ladrillo,4,3,2,3,4,3,3,2,3,4,3,19,0,construir inmuebles,1,1,1,mesas,2,2,2,chimeneas,1,1,1,estufas,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ladrillo,4,5,4,4,4,3,5,5,4,5,4,19,1,escaleras o escalones,2,2,1,soporte o base,2,1,2,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ladrillo,3,3,5,4,4,5,4,4,5,3,5,19,1,construir inmuebles,1,1,1,muros o paredes,1,1,1,barras,3,1,1,arcilla ,2,1,1,polvo,2,1,1,hacer pintura o colorante,3,2,2,bloques,1,2,2,soporte o base,2,1,2,equilibrar o balancear,3,2,2,"obstáculo para detener, frenar o topar",3,2,2,arma defensa,4,2,2,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ladrillo,5,5,5,5,4,5,5,5,5,5,5,19,0,construir inmuebles,1,1,1,,,,,asientos,2,1,2,arma defensa,4,2,2,pesas deporte,4,3,3,equilibrar o balancear,3,2,2,juegos o juguetes,4,2,2,,,,,,,,,,,,,bardas,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ladrillo,2,3,3,2,3,4,5,1,5,3,5,18,0,construir inmuebles,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ladrillo,3,3,5,5,4,4,4,4,5,3,4,18,1,construir inmuebles,1,1,1,pisos,2,2,1,arma defensa,4,2,2,escaleras o escalones,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ladrillo,4,4,4,5,3,4,4,5,5,5,5,20,1,construir inmuebles,1,1,1,asientos,2,2,2,soporte o base,2,1,1,pintar o dibujar  ,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ladrillo,3,3,4,3,3,4,4,4,3,3,4,19,0,construir inmuebles,1,1,1,,,,,,,,,juegos o juguetes,4,2,2,bardas,1,1,1,pisos,2,2,1,soporte o base,2,1,1,delimitar superficies,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ladrillo,5,5,3,4,4,4,5,4,3,4,4,18,0,construir inmuebles,1,1,1,esculturas,5,2,1,pintar o dibujar  ,3,2,2,arcilla,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ladrillo,4,4,4,4,4,4,4,4,4,4,4,22,0,construir inmuebles,1,1,1,muros o paredes,1,1,1,pisa papeles,4,2,2,"obstáculo para detener, frenar o topar",3,2,2,romper o destruir ,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ladrillo,3,3,4,3,3,4,4,4,4,3,4,22,1,construir inmuebles,1,1,1,recurso didáctico aprendizaje,5,2,2,,,,,fogatas,3,1,1,asientos,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ladrillo,5,5,4,5,5,5,5,5,5,5,5,22,0,pisa papeles,4,2,2,mesas,2,2,1,asientos,2,2,2,equilibrar o balancear,3,2,2,juegos o juguetes,4,2,2,pintar o dibujar ,3,2,2,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ladrillo,4,3,5,5,4,5,4,5,4,4,4,18,0,construir inmuebles,1,1,1,mesas,2,2,1,asientos,2,2,2,arma defensa,4,2,2,soporte o base,2,2,2,escaleras o escalones,2,2,1,herramienta,3,2,2,romper o destruir ,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ladrillo,3,4,4,2,2,3,3,3,3,2,3,21,0,pisa papeles,4,2,2,"obstáculo para detener, frenar o topar",3,2,2,,,,,arma defensa,4,2,2,pesas deporte,4,3,3,lego,4,1,2,soporte o base,2,1,2,decoración jardín,3,2,2,asientos,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ladrillo,3,3,4,4,3,4,2,3,2,3,2,21,0,"obstáculo para detener, frenar o topar",3,2,2,mesas,2,2,1,soporte o base,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ladrillo,2,3,4,3,3,4,2,3,2,2,4,21,0,construir inmuebles,1,1,1,mesas,2,2,1,asientos,2,2,2,"obstáculo para detener, frenar o topar",3,2,2,muros o paredes,1,1,1,hornos,1,1,1,ocultar,2,2,2,delimitar superficies ,3,2,2,escaleras o escalones,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ladrillo,4,4,3,3,2,4,5,4,4,4,5,21,0,,,,,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,escaleras o escalones,2,2,1,,,,,equilibrar o balancear,3,2,2,delimitar superficies ,3,2,2,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ladrillo,5,5,3,4,4,3,5,4,3,5,5,20,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ladrillo,5,5,4,4,4,4,5,4,5,4,4,19,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,,,,,soporte o base,2,1,1,escaleras o escalones,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ladrillo,4,2,5,4,2,4,3,3,5,2,4,20,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,banquetas,1,2,1,pisos,2,2,1,camas o cunas,2,2,2,asientos,2,2,2,muros o paredes,1,1,1,mesas,2,2,1,,,,,arma defensa,4,2,2,soporte o base,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ladrillo,3,4,4,3,3,3,5,5,3,3,5,19,0,construir inmuebles,1,1,1,,,,,asientos,2,2,2,chimeneas,1,1,1,hornos,1,1,1,túneles,2,1,1,puentes,2,1,1,romper o destruir ,4,2,2,equilibrar o balancear,3,2,2,,,,,bardas,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ladrillo,5,5,5,5,5,5,5,5,5,5,5,20,0,,,,,"obstáculo para detener, frenar o topar",3,2,2,asientos,2,2,2,,,,,,,,,,,,,,,,,equilibrar o balancear,3,2,2,,,,,pisa papeles,4,2,2,soporte o base,2,1,1,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
