"ID","prompt","response","set"
101,"易拉罐","做装饰物","chinese2"
101,"易拉罐","养花","chinese2"
101,"易拉罐","压扁垫桌脚","chinese2"
101,"筷子","做头簪","chinese2"
101,"筷子","插在土里固定农作物","chinese2"
101,"筷子","绑起来做糕点印花","chinese2"
102,"易拉罐","作清洁球洗碗","chinese2"
102,"易拉罐","做饭的容器","chinese2"
102,"易拉罐","灯笼","chinese2"
102,"筷子","当成发簪","chinese2"
102,"筷子","搅拌","chinese2"
102,"筷子","积木","chinese2"
103,"易拉罐","打人工具","chinese2"
103,"易拉罐","枕头","chinese2"
103,"易拉罐","笔筒","chinese2"
103,"筷子","发簪","chinese2"
103,"筷子","搅拌棒","chinese2"
103,"筷子","直尺","chinese2"
104,"易拉罐","垃圾桶","chinese2"
104,"易拉罐","笔盒","chinese2"
104,"易拉罐","管子","chinese2"
104,"筷子","吃饭","chinese2"
104,"筷子","打假","chinese2"
104,"筷子","武器","chinese2"
105,"易拉罐","凳子","chinese2"
105,"易拉罐","暗器","chinese2"
105,"易拉罐","水杯","chinese2"
105,"筷子","发簪","chinese2"
105,"筷子","武器","chinese2"
105,"筷子","笔","chinese2"
106,"易拉罐","排气管","chinese2"
106,"易拉罐","笔筒","chinese2"
106,"易拉罐","花盆","chinese2"
106,"筷子","柴火","chinese2"
106,"筷子","竹签","chinese2"
106,"筷子","衣架","chinese2"
107,"易拉罐","玩具","chinese2"
107,"易拉罐","笔筒","chinese2"
107,"易拉罐","装饰物","chinese2"
107,"筷子","发饰","chinese2"
107,"筷子","架子","chinese2"
107,"筷子","竹板","chinese2"
108,"易拉罐","存钱罐","chinese2"
108,"易拉罐","烧烤架","chinese2"
108,"易拉罐","花盆","chinese2"
108,"筷子","发簪","chinese2"
108,"筷子","炭笔","chinese2"
108,"筷子","门拴","chinese2"
109,"易拉罐","做笔筒","chinese2"
109,"易拉罐","切开掰直当刀片","chinese2"
109,"易拉罐","刻字","chinese2"
109,"筷子","发簪","chinese2"
109,"筷子","搭小房子","chinese2"
109,"筷子","火柴","chinese2"
