"ID","prompt","response","set","lab","rater1","rater2","rater3","rater4"
"1","Axt","anmalen",14,8,2,1,1,NA
"1","Axt","Axtwerfen spielen",14,8,2,2,2,NA
"1","Axt","Eine Leitung durchtrennen",14,8,1,2,3,NA
"1","Axt","etwas zerkleinern",14,8,1,1,2,NA
"1","Axt","hacken",14,8,1,1,1,NA
"1","Axt","Holz zerkleinern",14,8,1,1,1,NA
"1","Axt","jemanden bedrohen",14,8,2,2,2,NA
"1","Axt","jemanden töten",14,8,2,2,2,NA
"1","Axt","jonglieren",14,8,3,2,3,NA
"1","Axt","polieren",14,8,1,1,1,NA
"1","Axt","schleifen",14,8,2,1,2,NA
"1","Axt","verkaufen",14,8,1,1,1,NA
"1","Axt","werfen",14,8,2,1,2,NA
"1","Bett","als Floß",14,8,3,3,3,NA
"1","Bett","als Platz für Kissenschlacht benutzen",14,8,2,2,2,NA
"1","Bett","als Sofa benutzen",14,8,1,1,1,NA
"1","Bett","als Spielfläche für Kinder",14,8,2,2,2,NA
"1","Bett","zu einer Bude bauen",14,8,2,3,3,NA
"1","Erbse","durch ein Spuckrohr pusten",14,8,3,3,3,NA
"1","Erbse","Eine Suppe kochen",14,8,1,1,1,NA
"1","Erbse","Erbseneiweiss extrahieren",14,8,3,4,5,NA
"1","Erbse","in eine Tupperdose füllen",14,8,1,2,2,NA
"1","Erbse","in einem Auflauf verwenden",14,8,1,1,2,NA
"1","Erbse","jonglieren",14,8,3,2,2,NA
"1","Erbse","kochen",14,8,1,1,1,NA
"1","Erbse","pürieren",14,8,2,2,2,NA
"1","Erbse","schneiden",14,8,1,1,1,NA
"1","Erbse","über den Tisch schnipsen",14,8,2,2,2,NA
"1","Erbse","zählen",14,8,3,1,2,NA
"1","Erbse","zerdrücken",14,8,1,1,2,NA
"1","Erbse","zermahlen",14,8,2,1,2,NA
"1","Flöte","als Kerzenständer",14,8,4,3,3,NA
"1","Flöte","als Spuckrohr",14,8,4,3,3,NA
"1","Flöte","als Staffelholz verwenden",14,8,5,4,3,NA
"1","Flöte","als Stohhalm benutzen",14,8,4,5,4,NA
"1","Flöte","als Zeigestock",14,8,3,3,3,NA
"1","Flöte","zum Teig ausrollen",14,8,4,3,3,NA
"1","Geige","ausprobieren",14,8,1,1,1,NA
"1","Geige","benutzen",14,8,1,1,1,NA
"1","Geige","bespannen",14,8,1,1,3,NA
"1","Geige","eine Beerdigung begleiten",14,8,2,2,3,NA
"1","Geige","im Orchester spielen",14,8,1,2,1,NA
"1","Geige","in Reparatur geben",14,8,2,1,3,NA
"1","Geige","lackieren",14,8,2,2,3,NA
"1","Geige","musizieren",14,8,1,1,1,NA
"1","Geige","personalisieren lassen",14,8,3,2,4,NA
"1","Geige","präsentieren",14,8,3,1,2,NA
