"ID","prompt","response","set","lab","rater1","rater2"
1,"accendino","fai luce accendendo la fiamma",17,10,1,1
1,"accendino","strumento musicale",17,10,2,3
1,"accendino","usarlo come martello per attaccare un chiodino",17,10,2,3
1,"accendino","usarlo come righello",17,10,2,3
1,"accetta","appenderla al muro",17,10,2,2
1,"accetta","usarla al posto del cltello per tagliare la pizza",17,10,4,4
1,"appendino","appenderci collane anziché pantaloni o giacche",17,10,2,2
1,"appendino","appenderla al contrario",17,10,1,2
1,"appendino","suonarla come se fosse uno strumento musicale",17,10,3,2
1,"appendino","usarla come altalena per uccelli",17,10,4,4
1,"aspirapolvere","aprirla e usarla come portaogetti e come cestino per la spazzatura",17,10,3,2
1,"aspirapolvere","trasportarci un bambino come se fosse un passeggino",17,10,2,2
1,"Attaccapanni","altalena per uccelli",16,10,4,3
1,"Attaccapanni","porta asciugamani",16,10,2,2
1,"banana","usarla come centrotavola o come fermaporta",17,10,2,2
1,"Barile","accessorio da ristorante",16,10,2,2
1,"Barile","baule",16,10,2,2
1,"Barile","cuccia per cani",16,10,2,2
1,"Barile","mobile",16,10,2,2
1,"Barile","sedia",16,10,2,2
1,"Barile","tavolo",16,10,2,2
1,"Bottiglia di plastica","borsa dell'acqua calda",16,10,2,3
1,"Bottiglia di plastica","pesetto da palestra",16,10,2,2
1,"Bottiglia di plastica","portapenne",16,10,2,2
1,"Bottiglia di plastica","spaventapasseri",16,10,4,3
1,"Bottiglia di plastica","tavolozza per acquarelli",16,10,3,4
1,"Bottiglia di plastica","trappola per gamberetti",16,10,4,3
1,"cappello","appenderlo al muro",17,10,2,2
1,"cappello","appenderlo come quadro",17,10,2,2
1,"cappello","colorarlo",17,10,2,3
1,"cappello","indossarlo",17,10,1,1
1,"cappello","metterlo sul ginocchio",17,10,2,2
1,"cappello","riempirlo di mele e usarlo come cestino",17,10,2,2
1,"cappello","tenerlo in mano",17,10,2,2
1,"cappello","usarlo come borsetta aggiungendo una catena",17,10,4,3
1,"cappello","usarlo come soprammobile",17,10,2,2
1,"cestino","altalena per bambini",17,10,2,2
1,"cestino","culla",17,10,2,2
1,"cestino","metterci un bambino",17,10,2,2
1,"cestino","metterlo a cappello",17,10,2,2
1,"cestino","usarlo come borsetta",17,10,3,2
1,"cestino","usarlo come cappello",17,10,2,2
1,"coltello","attaccarci un chiodo (usarlo come martello)",17,10,3,3
1,"coltello","fermaporta",17,10,2,2
1,"coltello","togliere le graffette che uniscono i fogli",17,10,2,3
1,"coltello","usare la punta per bucare un foglio",17,10,2,2
1,"coltello","usarlo come righello",17,10,3,3
1,"coltello","usarlo come spatola per distribuire il catrame",17,10,3,2
1,"coltello","usarlo per incidere scritte su una tavola di legno",17,10,2,2
1,"cucchiaio","appenderlo come ciondolo",17,10,3,2
1,"cucchiaio","fermaglio per capelli",17,10,2,2
1,"cucchiaio","scavare le buche sulla sabbia",17,10,2,2
1,"cucchiaio","specchio",17,10,2,2
1,"cucchiaio","usarlo come specchio",17,10,2,2
1,"graffetta","aprirla e cambiare forma",17,10,2,2
1,"graffetta","ciondolo per bracciale o collana",17,10,2,2
1,"graffetta","usarla come gancio per appendere fogli",17,10,2,2
1,"graffetta","usarla come orecchino",17,10,2,2
1,"guanto","appenderlo come quadro",17,10,3,3
1,"guanto","gonfiarlo a palloncino",17,10,3,2
1,"guanto","indossarlo al contrario",17,10,2,1
1,"guanto","indossarlo sul piede",17,10,2,2
1,"guanto","metterlo in testa",17,10,2,2
1,"guanto","riempirlo di riso",17,10,2,2
1,"lampadina","colorarla",17,10,2,2
1,"lampadina","romperla",17,10,2,2
1,"lampadina","usarla come soprammobile",17,10,2,2
1,"Lampadina","decorazione di natale",16,10,2,2
1,"libro","usarlo come fermacarte",17,10,2,2
1,"libro","usarlo come piedistallo",17,10,2,2
1,"libro","vuotarlo e usarlo come portagioie",17,10,2,2
1,"Libro","ferma porte",16,10,2,2
1,"Libro","origami",16,10,2,2
1,"Libro","portafiori",16,10,2,3
1,"Libro","si può usare per correggere la postura",16,10,3,4
1,"martello","appenderlo come quadro",17,10,4,4
1,"martello","aprirci le bottiglie",17,10,2,3
1,"martello","romperci le noci",17,10,2,2
1,"mattone","colorarlo",17,10,2,2
1,"mattone","lanciarlo",17,10,2,2
1,"mattone","mettere dentro gli spazi le penne (portapenne)",17,10,2,2
1,"mattone","romperci un vetro",17,10,2,2
1,"mattone","usarlo come formina per i castelli di sabbia",17,10,3,3
1,"mattone","usarlo come piedistallo",17,10,2,2
1,"Sedia","decorazione di interni come porta fiori appesa",16,10,2,2
1,"Sedia","piano rialzato",16,10,2,2
1,"Sedia","una casetta non finita",16,10,4,3
2,"accendino","oggetto per l'incisione dei nomi",17,10,2,3
2,"accetta","appendino",17,10,2,2
2,"accetta","apribuste",17,10,3,3
2,"accetta","la parte inferiore potrebbe diventare un bastone da lanciare ai cani",17,10,3,2
2,"accetta","oggetto per portare gli alberi",17,10,3,3
2,"accetta","parte superiore per afferrare i salumi",17,10,3,3
2,"appendino","boomerang",17,10,2,2
2,"appendino","curvilinee",17,10,3,3
2,"appendino","mattarello (la parte più bassa)",17,10,3,3
2,"appendino","maxi orecchini",17,10,3,3
2,"appendino","stecca per geometri",17,10,2,3
2,"aspirapolvere","asciugatutto",17,10,2,2
2,"aspirapolvere","aspirapolvere",17,10,1,1
2,"aspirapolvere","impianto di areazione",17,10,3,3
2,"aspirapolvere","microfono",17,10,3,3
2,"Attaccapanni","arco",16,10,2,2
2,"Attaccapanni","balestra",16,10,4,5
2,"Attaccapanni","base di un piedistallo",16,10,3,2
2,"Attaccapanni","fionda",16,10,3,3
2,"Attaccapanni","lampadario",16,10,2,2
2,"Attaccapanni","stendino",16,10,2,2
2,"banana","amaca per le barbie",17,10,3,2
2,"banana","boomerang",17,10,2,2
2,"barattolo","armatura",17,10,3,3
2,"barattolo","cappello",17,10,2,2
2,"barattolo","nascondiglio",17,10,2,3
2,"barattolo","opera d'arte",17,10,2,2
2,"barattolo","piatto (la parte superiore del cestino)",17,10,3,3
2,"barattolo","scatola per un regalo",17,10,3,2
2,"Barile","contenitore",16,10,1,1
2,"Barile","cuccia",16,10,2,2
2,"Barile","espositore",16,10,2,2
2,"Barile","mobile",16,10,2,2
2,"Barile","portapiante",16,10,2,2
2,"Barile","portavini",16,10,2,2
2,"Barile","secchio",16,10,2,2
2,"Barile","sedia",16,10,2,2
2,"Barile","tavolo",16,10,2,2
2,"bicicletta","struttura interna di una gonna (le ruote)",17,10,4,4
