"ID","prompt","response","set"
621,"cegła","podporu samochodu podczas wymiany koła","polish2"
621,"puszka","puszkę jako popielniczkę","polish2"
621,"sznurek","do rozwieszania prania","polish2"
692,"cegła","Zrobienia słupka w bramce (do gry w piłkę lub hokeja)","polish2"
692,"puszka","Po zgnieceniu do gry w hokeja na lodzie (zamiast krążka)","polish2"
692,"sznurek","Zamiast paska","polish2"
1000,"cegła","Obciążenie sieci rybackiej","polish1"
1000,"cegła","Podstawa pod tapczan","polish1"
1000,"cegła","Zastosowanie cegły zamiast podnośnika samochodowego","polish1"
1000,"puszka","cel do strzelania","polish1"
1000,"puszka","lejek do benzyny lub oleju","polish1"
1000,"puszka","Popielniczka na rybach","polish1"
1097,"cegła","deska do krojenia","polish1"
1097,"cegła","doniczka do kwiatów","polish1"
1097,"cegła","nogi stolika","polish1"
1097,"cegła","obramowanie ogniska","polish1"
1097,"cegła","ogranicznik do otwierania drzwi","polish1"
1097,"cegła","ogrzewanie - nagrzana cegła trzyma ciepło","polish1"
1097,"cegła","podjazd","polish1"
1097,"cegła","podpórka pod krzewy","polish1"
1097,"cegła","podstawka pod garnek","polish1"
1097,"cegła","przeszkody w torze kapslowym do zabawy","polish1"
1097,"cegła","przycisk do kiszenia ogórków","polish1"
1097,"cegła","przycisk do papieru","polish1"
1097,"cegła","ramka na zdjęcia","polish1"
1097,"cegła","stojak z karteczkami przypominajkami","polish1"
1097,"cegła","stolik przy ognisku","polish1"
1097,"cegła","świecznik","polish1"
1097,"cegła","tor dla samochodzików dla dziecka","polish1"
1097,"puszka","grzechotka","polish1"
1097,"puszka","instrument muzyczny","polish1"
1097,"puszka","naczynie na drinki","polish1"
1097,"puszka","ozdoba","polish1"
1097,"puszka","płotek z wielu puszek","polish1"
1097,"puszka","pojemnik do gotowania wody, zupy","polish1"
1097,"puszka","pojemnik na rulony papierowe","polish1"
1097,"puszka","popielniczka","polish1"
1097,"puszka","pudełko do przechowywania drobiazgów","polish1"
1097,"puszka","strach na ptaki","polish1"
1097,"puszka","wazonik","polish1"
1097,"puszka","zabawka - wąż, jaszczurka","polish1"
1335,"cegła","broń","polish2"
1335,"puszka","Ozdoba do domu","polish2"
1335,"sznurek","Zrobić z niego biżuterię","polish2"
1488,"cegła","Jako podtrzymka na płyty CD.","polish2"
1488,"puszka","Na popielniczkę.","polish2"
1488,"sznurek","Jako ozdobę.","polish2"
1906,"cegła","jako element dekoracyjny","polish2"
1906,"cegła","jako narzedzie","polish2"
1906,"cegła","jako podstawkę","polish2"
1906,"puszka","do gry","polish2"
1906,"puszka","do rzucania","polish2"
1906,"puszka","do walcowania","polish2"
1906,"sznurek","do cięcia","polish2"
1906,"sznurek","do ozdoby","polish2"
1906,"sznurek","do zabawy","polish2"
2004,"cegła","można wykorzystać jako przyrząd / obciążenie do ćwiczeń","polish1"
2004,"cegła","wybudować labirynt","polish1"
2004,"puszka","może służyć jako przenośna toaleta :)","polish1"
2004,"puszka","można ją wykorzystać jako instrument muzyczny","polish1"
2004,"puszka","można z niej zrobić fajną zabawkę np ludzika","polish1"
2004,"puszka","W nietypowo trudnej sytuacji może posłużyć jako narzędzie np nuż","polish1"
2717,"cegła","Obciążenie żeby lekkie przedmioty nie przemieszczały się","polish1"
2717,"cegła","Wytyczenie ogniska","polish1"
2717,"puszka","Pojemnik na długopisy","polish1"
2717,"puszka","Popielniczka","polish1"
2736,"cegła","Materiał na biżuterie","polish1"
2736,"cegła","Odważnik","polish1"
2736,"cegła","Podpora do drzwi","polish1"
2736,"puszka","ozdoba choinkow","polish1"
2736,"puszka","Po roxcięciu śmigło","polish1"
2736,"puszka","Pudełko rezonansowe","polish1"
3287,"cegła","do odmierzenia otworu","polish1"
3287,"cegła","do przytrzymania czegoś co lata na wietrze","polish1"
3287,"cegła","do rysowania po chodniku","polish1"
3287,"cegła","jako foremkę","polish1"
3287,"puszka","do odmierzania ilości","polish1"
3287,"puszka","do rysowania kółek","polish1"
3287,"puszka","do wykrawania ciastek z ciasta","polish1"
3287,"puszka","jako kieliszek","polish1"
3287,"puszka","jako szklankę","polish1"
4325,"cegła","jako krzesło/siedzisko","polish2"
4325,"puszka","jako grzechotkę","polish2"
4325,"sznurek","makatka","polish2"
4325,"sznurek","związanie włosów","polish2"
4554,"cegła","- jako miejsce, na którym można napisać list","polish1"
4554,"cegła","do wybicia szyby","polish1"
4554,"cegła","jako element dekoracji","polish1"
4554,"cegła","jako podstawę do postawienie czegoś","polish1"
4554,"cegła","jako prezent dlla kogoś","polish1"
4554,"puszka","do odrysowania okręgu","polish1"
4554,"puszka","do wykonania wazonu","polish1"
4554,"puszka","jako garnek do podgrzania wody na ognisku będąc na biwaku","polish1"
4554,"puszka","jako popielniczkę","polish1"
4554,"puszka","po rozcięciu można wykorzystać jako blachę","polish1"
5211,"cegła","Do zbudowania stolika, krzesła itp","polish1"
5211,"cegła","Narzędzie do wbijania wiedzy","polish1"
5211,"cegła","Po wywierceniu otworów może działać jako lampka","polish1"
5211,"cegła","podstawek pod gorący napój","polish2"
5211,"cegła","Podstawka pod gliniany kubek","polish1"
5211,"cegła","Poduszka dla sadomasochistów","polish1"
5211,"cegła","pomalować i potraktować jako kwiat","polish2"
5211,"cegła","włożyć żarówkę i będzie lampka","polish2"
5211,"cegła","zwierzątko domowe wyprowadzane np. na smyczy","polish1"
5211,"puszka","jako doniczkę  użyć dużo puszek i zrobić stół","polish2"
5211,"puszka","lampka","polish1"
5211,"puszka","ścianka działowa w domu","polish1"
5211,"puszka","włożyć żarówkę i będzie lampka","polish2"
5211,"sznurek","z kilku sznurków zrobić hamak","polish2"
5742,"cegła","podłożenia pod koło auta","polish1"
5742,"cegła","podłożenie pod zamykające się drzwi,bramę","polish1"
5742,"cegła","podstawka pod?","polish1"
5742,"puszka","doniczka","polish1"
5742,"puszka","naczynie na wodę","polish1"
5742,"puszka","pojemnik na narzędzia","polish1"
5745,"cegła","blokada do drzwi","polish1"
5745,"cegła","blokada pod koło","polish1"
5745,"cegła","kotwica' w łodzi","polish1"
5745,"cegła","młotek","polish1"
5745,"cegła","przycisk do papieru","polish1"
5745,"puszka","lampion","polish1"
5745,"puszka","podstawka pod kwiatek","polish1"
5745,"puszka","pojemnik na różnosci","polish1"
5745,"puszka","popielniczka","polish1"
5782,"cegła","klocek do jogi","polish1"
5782,"cegła","podpórka do drzwi","polish1"
5782,"cegła","podstawka pod rzutnik","polish1"
5782,"cegła","pokruszona z wodą - farbka","polish1"
5782,"cegła","prezent dla nowożeńców","polish1"
5782,"cegła","proszek do ozdabiania babki z piasku","polish1"
5782,"puszka","bębenek","polish1"
5782,"puszka","grzechotka","polish1"
5782,"puszka","opakowanie na prezent","polish1"
5782,"puszka","pocięta 'w' krążki - zestaw bransoletek","polish1"
5782,"puszka","pocięta 'w' paski - ozdoba na chonikę","polish1"
5782,"puszka","pudełko do długopisów","polish1"
5782,"puszka","skarbonka na pieniędze","polish1"
5782,"puszka","spłaszczona - zakładka do książki","polish1"
5782,"puszka","zawieszka na szyję","polish1"
6136,"cegła","- jako dla wyrównania poziomu,","polish1"
6136,"cegła","- jako obciążnik na półce z książkami tak by się nie przewracały się,","polish1"
6136,"cegła","- jako ozdoba,","polish1"
6136,"cegła","- jako podstawka pod ciepły garnek, żeby nie przypalić np: blatu kuchennego,","polish1"
6136,"cegła","- jako schodek dla raczkującego dziecka,","polish1"
6136,"cegła","jako ciężarek","polish1"
6136,"puszka","- jako ociekacz na sztućce w kuchni,","polish1"
6136,"puszka","- jako świecznik, po włożeniu świeczki do środka","polish1"
6136,"puszka","- pełna puszka jako ciężarek do ćwiczeń w domu,","polish1"
6136,"puszka","- pusta puszka jako pojemnik na resztki żywności,","polish1"
6136,"puszka","jako zabawka dla dziecka, po wyrównaniu krańców, żeby się nie skaleczyło","polish1"
6263,"cegła","blokada pod koło auta","polish1"
6263,"cegła","chodnik","polish1"
6263,"cegła","ozdobne odgrodzenie roślin w ogrodzie","polish1"
6263,"cegła","podstawka na ognisko do rusztu","polish1"
6263,"cegła","tunel do wędzenia","polish1"
6263,"puszka","doniczka na zioła","polish1"
6263,"puszka","naczynie do zlewania oleju","polish1"
6263,"puszka","osłonka na świeczke","polish1"
6263,"puszka","pojemnik na długopisy","polish1"
6409,"cegła","Można komuś głowię rozbić","polish1"
6409,"puszka","do płoszenia kretów, na pręcik się zakłada","polish1"
6796,"cegła","Cegłę można wykorzystać do samoobrony :) i nosić ją w teczce :)","polish2"
6796,"puszka","Puszkę można wykorzystać do zbierania drobnych monet","polish2"
