"ID","prompt","response","set","lab","rater1","rater2","rater3"
1,"газета","Бумага (для записей рисунков)",21,13,2,1,2
1,"газета","Веер",21,13,2,3,2
1,"газета","Маска",21,13,3,4,3
1,"газета","Материал для оригами",21,13,2,3,2
1,"газета","Материал для создания аппликаций",21,13,2,3,2
1,"газета","Муку бить",21,13,3,1,2
1,"газета","Обои",21,13,2,2,2
1,"газета","Одеяло",21,13,4,3,2
1,"газета","Поднос",21,13,3,2,2
1,"газета","Подстилка",21,13,2,3,2
1,"газета","Скатерть",21,13,3,2,2
1,"газета","Совок",21,13,3,2,2
1,"газета","Стул (пачка газет)",21,13,3,3,3
1,"газета","Трафарет",21,13,3,1,3
1,"газета","Упаковка",21,13,2,2,2
1,"газета","Черновик для росписи ручки",21,13,2,2,2
1,"газета","Шапка",21,13,2,3,2
1,"газета","Швабра",21,13,3,3,3
1,"газета","Шторка",21,13,3,3,2
1,"газета","Элемент одежды",21,13,2,1,2
1,"деревянная линейка","""Карандаш""",21,13,3,2,2
1,"деревянная линейка","Весы",21,13,4,3,3
1,"деревянная линейка","Зубочистка",21,13,2,3,3
1,"деревянная линейка","Молоток",21,13,3,3,4
1,"деревянная линейка","Настил (если много)",21,13,3,3,3
1,"деревянная линейка","Нож",21,13,3,3,3
1,"деревянная линейка","Оружие",21,13,3,2,2
1,"деревянная линейка","Подставка",21,13,2,2,2
1,"деревянная линейка","Рамка",21,13,3,3,2
1,"деревянная линейка","Распорка",21,13,3,2,2
1,"деревянная линейка","Средство для уборки (швабра)",21,13,3,1,3
1,"деревянная линейка","Указатель",21,13,3,2,3
1,"деревянная линейка","Указка",21,13,2,2,2
1,"деревянная линейка","Формочка (если несколько)",21,13,3,4,3
1,"деревянная линейка","Шина (в медицинских целях - переломы)",21,13,3,3,2
1,"деревянная линейка","Шпажка",21,13,3,3,3
1,"деревянная линейка","Шпатель",21,13,3,4,3
1,"деревянная линейка","Элемент декора",21,13,3,2,2
1,"деревянная линейка","Элемент орнамента",21,13,3,2,2
1,"картонная коробка","Вырезать различные декорации и инвентарь",22,13,2,2,2
1,"картонная коробка","Вырезать тонкие полосочки и повесить их вместо занавесок",22,13,4,4,3
1,"картонная коробка","Вырезать фигурки из коробок разных цветов, делая картину",22,13,2,2,2
1,"картонная коробка","Домик для детей",22,13,1,1,1
1,"картонная коробка","Изготовление блокнотов",22,13,3,2,2
1,"картонная коробка","Использовать в качестве декора",22,13,2,2,2
1,"картонная коробка","Использовать в качестве холста",22,13,1,1,2
1,"картонная коробка","Использовать их в качестве стаканчиков для воды",22,13,3,3,2
1,"картонная коробка","Использовать их как основу для изделий",22,13,1,1,2
1,"картонная коробка","Использовать материал для изготовления масок",22,13,2,2,2
1,"картонная коробка","Картон - прекрасные пробники для акварели и акрила",22,13,3,2,2
1,"картонная коробка","Раскрасить и расклеить вместо обоев",22,13,2,2,2
1,"картонная коробка","Сделать из коробки тумбу с ящиками",22,13,2,2,2
1,"картонная коробка","Сделать крылья",22,13,2,3,2
1,"картонная коробка","Сделать полноценный жилой дом",22,13,1,2,1
1,"картонная коробка","Сделать шляпу",22,13,2,3,3
1,"картонная коробка","Склеить из маленьких коробок одну большую",22,13,1,2,1
2,"газета","Арт-пространство, материал для искусства",21,13,3,3,2
2,"газета","Греться",21,13,3,3,2
2,"газета","Использовать как раскраску",21,13,3,3,4
2,"газета","Наблюдать как она намокает и высыхает (эстетическое + любопытство)",21,13,4,4,4
2,"газета","Наносить на другие поверхности",21,13,2,1,2
2,"газета","Оборачивать цветы",21,13,2,2,2
2,"газета","Орудие самообороны (свёрнутая)",21,13,4,3,3
2,"газета","Шуршать",21,13,3,3,3
2,"деревянная линейка","""Кисть"" или шпатель для красок",21,13,3,3,3
2,"деревянная линейка","Бить (однозначно)",21,13,2,2,2
