"ID","prompt","response","set"
1,"ladrillo","construir inmuebles","spanish1"
1,"ladrillo","asientos","spanish1"
1,"ladrillo","soporte o base","spanish1"
2,"ladrillo","juegos o juguetes","spanish1"
2,"ladrillo","herramienta","spanish1"
2,"ladrillo","escaleras o escalones","spanish1"
2,"ladrillo","fogatas","spanish1"
2,"ladrillo","pintar o dibujar","spanish1"
3,"ladrillo","construir inmuebles","spanish1"
3,"ladrillo","escaleras o escalones","spanish1"
3,"ladrillo","soporte o base","spanish1"
3,"ladrillo","equilibrar o balancear","spanish1"
4,"ladrillo","construir inmuebles","spanish1"
4,"ladrillo","mesas","spanish1"
4,"ladrillo","juegos o juguetes","spanish1"
4,"ladrillo","delimitar superficies","spanish1"
4,"ladrillo","soporte o base","spanish1"
4,"ladrillo","equilibrar o balancear","spanish1"
4,"ladrillo","asientos","spanish1"
5,"ladrillo","construir inmuebles","spanish1"
5,"ladrillo","asientos","spanish1"
5,"ladrillo","soporte o base","spanish1"
5,"ladrillo","obstÃ¡culo para detener, frenar o topar","spanish1"
5,"ladrillo","pintar o dibujar","spanish1"
5,"ladrillo","pisa papeles","spanish1"
6,"ladrillo","construir inmuebles","spanish1"
6,"ladrillo","juegos o juguetes","spanish1"
6,"ladrillo","moldear o aplanar","spanish1"
6,"ladrillo","asientos","spanish1"
6,"ladrillo","esculturas","spanish1"
6,"ladrillo","tallar, grabar o rayar","spanish1"
6,"ladrillo","escribir","spanish1"
6,"ladrillo","pesas deporte","spanish1"
6,"ladrillo","pisos","spanish1"
6,"ladrillo","romper o destruir","spanish1"
6,"ladrillo","equilibrar o balancear","spanish1"
7,"ladrillo","construir inmuebles","spanish1"
7,"ladrillo","soporte o base","spanish1"
7,"ladrillo","pisos","spanish1"
8,"ladrillo","construir inmuebles","spanish1"
8,"ladrillo","mesas","spanish1"
8,"ladrillo","chimeneas","spanish1"
8,"ladrillo","estufas","spanish1"
9,"ladrillo","escaleras o escalones","spanish1"
9,"ladrillo","soporte o base","spanish1"
9,"ladrillo","obstÃ¡culo para detener, frenar o topar","spanish1"
10,"ladrillo","construir inmuebles","spanish1"
10,"ladrillo","obstÃ¡culo para detener, frenar o topar","spanish1"
10,"ladrillo","arma defensa","spanish1"
10,"ladrillo","pesas deporte","spanish1"
10,"ladrillo","muros o paredes","spanish1"
10,"ladrillo","barras","spanish1"
10,"ladrillo","arcilla","spanish1"
10,"ladrillo","polvo","spanish1"
10,"ladrillo","hacer pintura o colorante","spanish1"
10,"ladrillo","bloques","spanish1"
10,"ladrillo","soporte o base","spanish1"
10,"ladrillo","equilibrar o balancear","spanish1"
11,"ladrillo","construir inmuebles","spanish1"
11,"ladrillo","bardas","spanish1"
11,"ladrillo","asientos","spanish1"
11,"ladrillo","arma defensa","spanish1"
11,"ladrillo","pesas deporte","spanish1"
11,"ladrillo","equilibrar o balancear","spanish1"
11,"ladrillo","juegos o juguetes","spanish1"
12,"ladrillo","construir inmuebles","spanish1"
13,"ladrillo","construir inmuebles","spanish1"
13,"ladrillo","pisos","spanish1"
13,"ladrillo","arma defensa","spanish1"
13,"ladrillo","escaleras o escalones","spanish1"
14,"ladrillo","construir inmuebles","spanish1"
14,"ladrillo","asientos","spanish1"
14,"ladrillo","soporte o base","spanish1"
14,"ladrillo","pintar o dibujar","spanish1"
15,"ladrillo","construir inmuebles","spanish1"
15,"ladrillo","juegos o juguetes","spanish1"
15,"ladrillo","bardas","spanish1"
15,"ladrillo","pisos","spanish1"
15,"ladrillo","soporte o base","spanish1"
15,"ladrillo","delimitar superficies","spanish1"
16,"ladrillo","construir inmuebles","spanish1"
16,"ladrillo","esculturas","spanish1"
16,"ladrillo","pintar o dibujar","spanish1"
16,"ladrillo","arcilla","spanish1"
17,"ladrillo","construir inmuebles","spanish1"
17,"ladrillo","muros o paredes","spanish1"
17,"ladrillo","pisa papeles","spanish1"
17,"ladrillo","obstÃ¡culo para detener, frenar o topar","spanish1"
17,"ladrillo","romper o destruir","spanish1"
18,"ladrillo","construir inmuebles","spanish1"
18,"ladrillo","recurso didÃ¡ctico aprendizaje","spanish1"
18,"ladrillo","fogatas","spanish1"
18,"ladrillo","asientos","spanish1"
19,"ladrillo","pisa papeles","spanish1"
19,"ladrillo","mesas","spanish1"
19,"ladrillo","asientos","spanish1"
19,"ladrillo","equilibrar o balancear","spanish1"
19,"ladrillo","juegos o juguetes","spanish1"
19,"ladrillo","pintar o dibujar","spanish1"
19,"ladrillo","obstÃ¡culo para detener, frenar o topar","spanish1"
20,"ladrillo","construir inmuebles","spanish1"
20,"ladrillo","mesas","spanish1"
20,"ladrillo","asientos","spanish1"
20,"ladrillo","arma defensa","spanish1"
20,"ladrillo","soporte o base","spanish1"
20,"ladrillo","escaleras o escalones","spanish1"
20,"ladrillo","herramienta","spanish1"
