"ID","prompt","response","set","lab","rater1","rater2","rater3","Fluency_Ceinture","Fluency_Brouette","Fluency_avrg","Orig_Ceinture","Orig_Brouette","Orig_avrg","CSE","CPI","Openness","Gender","Nationality","Age"
1,"ceinture","Tenir un pantalon",10,6,1,1,1,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
1,"brouette","Transporter des choses",10,6,1,1,1,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
1,"brouette","Faire une course avec lors d'un parcours (jeu)",10,6,1,1,2,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
1,"ceinture","Frapper",10,6,1,1,1,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
1,"ceinture","Décorer une pièce",10,6,2,1,1,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
1,"ceinture","Offrir",10,6,1,1,1,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
1,"ceinture","Ligoter",10,6,1,1,2,5,2,3.5,1.1333333332,1.1666666665,1.14999999985,4.833333333333333,3,4,"F","Française",36
2,"brouette","Pour faire une jardinière avec herbes aromatiques",10,6,3,1,4,2,3,2.5,2.3333333335,2.33333333366667,2.333333333583335,4.166666666666667,3.4,4.5,"F","Française",39
2,"brouette","Pour l'utiliser comme une poussette",10,6,2,1,2,2,3,2.5,2.3333333335,2.33333333366667,2.333333333583335,4.166666666666667,3.4,4.5,"F","Française",39
2,"brouette","Pour l'accrocher au mur et y mettre des papiers ou",10,6,3,2,3,2,3,2.5,2.3333333335,2.33333333366667,2.333333333583335,4.166666666666667,3.4,4.5,"F","Française",39
2,"ceinture","Pour faire une sangle pour porter des bouteilles de lait",10,6,3,2,3,2,3,2.5,2.3333333335,2.33333333366667,2.333333333583335,4.166666666666667,3.4,4.5,"F","Française",39
2,"ceinture","Pour faire porte collier au mur",10,6,3,1,2,2,3,2.5,2.3333333335,2.33333333366667,2.333333333583335,4.166666666666667,3.4,4.5,"F","Française",39
3,"brouette","Jardinage",10,6,1,1,1,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"brouette","transport de charges",10,6,1,1,1,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"ceinture","Attacher son pantalon",10,6,1,1,1,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"brouette","peut être un objet d’art moderne",10,6,2,1,3,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"ceinture","peut être une arme (frapper)",10,6,3,1,1,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"brouette","pot de fleur",10,6,3,1,1,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"brouette","on peut la transformer en fontaine",10,6,3,1,4,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
3,"ceinture","peut remplacer une sangle pour tenir un objet",10,6,2,1,1,3,5,4,1.33333333333333,1.6666666668,1.500000000066665,3.8333333333333335,3.4,4,"M","Française",22
