"ID","prompt","response","set","lab","lp","order","rater1","rater2","rater3","rater4","Extr","Aggr","Cons","Neu","Openn","Mach","Psych","Narc","CPI","CSE","ACTIVITY_GENERAL","visual","music","dance","archit","writing","humor","discov","science","theatre","culinary","caq","iq_all","caq_ln","self_everyday","scholarly","performance","mechanical_science","artistic","badd_iq","string_cse","can_cse","brick_cse","age"
621,"sznurek","do rozwieszania prania",19,11,859,"p1",1,NA,2,NA,4.4,4.4,4.2,2.5,3.7,2.25,2,4.25,6,6,0.06060606060606061,0,0,0,0,0,0,1,0,0,0,1,2,0.6931471805599453,4.545454545454546,4.090909090909091,2.9,3,2.888888888888889,34,56.5,40,50,27
692,"sznurek","Zamiast paska",19,11,166,"p1",1,NA,2,NA,2.9,3.4,3,2.3,2.9,3.25,3.25,3,4.2,4,0.06060606060606061,0,0,0,0,0,1,0,0,0,0,1,9,0.6931471805599453,3.272727272727273,2.3636363636363638,1.6,1.6666666666666667,1.3333333333333333,21,32,70.5,55,32
1335,"sznurek","Zrobić z niego biżuterię",19,11,531,"p1",1,NA,2,NA,3.5,3.6,2.7,3.4,3.2,3.25,3.5,5,5,6,0.15151515151515152,1,0,0,0,1,1,0,2,0,1,6,9,1.9459101490553132,3.727272727272727,4.181818181818182,2.5,2.3333333333333335,3.111111111111111,33,52,40,50.5,32
1488,"sznurek","Jako ozdobę.",19,11,669,"p1",2,NA,3,NA,3.2,3.8,3.2,2.6,3.5,2.25,2,4.25,5.4,5.5,0.06060606060606061,0,1,0,0,0,1,3,0,0,0,5,3,1.791759469228055,3.6363636363636362,3.3636363636363638,3,4.222222222222222,2.6666666666666665,15,50.5,51,59,32
1906,"sznurek","do ozdoby",19,11,243,"p1",2,NA,3,NA,2.6,3.4,3.2,2.5,3.3,3.75,4,2.5,4,3.8333333333333335,0.06060606060606061,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3,3.1818181818181817,2.3,3,3,34,40,29,32,36
1906,"sznurek","do zabawy",19,11,244,"p2",1,NA,3,NA,2.6,3.4,3.2,2.5,3.3,3.75,4,2.5,4,3.8333333333333335,0.06060606060606061,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3,3.1818181818181817,2.3,3,3,34,40,29,32,36
1906,"sznurek","do cięcia",19,11,245,"p3",1,NA,3,NA,2.6,3.4,3.2,2.5,3.3,3.75,4,2.5,4,3.8333333333333335,0.06060606060606061,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3,3.1818181818181817,2.3,3,3,34,40,29,32,36
4325,"sznurek","makatka",19,11,436,"p1",7,NA,3,NA,4,4.5,4.4,2.4,4,3.75,3,5,6.2,5.666666666666667,0.15151515151515152,0,1,1,0,1,0,0,0,1,1,5,3,1.791759469228055,4.636363636363637,3.727272727272727,2,1.2222222222222223,2.5555555555555554,27,61,70,60,27
4325,"sznurek","związanie włosów",19,11,437,"p2",2,NA,2,NA,4,4.5,4.4,2.4,4,3.75,3,5,6.2,5.666666666666667,0.15151515151515152,0,1,1,0,1,0,0,0,1,1,5,3,1.791759469228055,4.636363636363637,3.727272727272727,2,1.2222222222222223,2.5555555555555554,27,61,70,60,27
5211,"sznurek","z kilku sznurków zrobić hamak",19,11,709,"p1",4,NA,3,NA,2,3.4,2.7,2.5,2.6,2,4.75,1.25,3.4,4.833333333333333,0.06060606060606061,3,0,0,0,0,1,0,19,0,1,24,2,3.2188758248682006,3.090909090909091,3.272727272727273,1.3,3,1.2222222222222223,21,3,29.5,37.5,36
6796,"sznurek","Sznurek można wykorzystać do połączenia cegły i puszki i wszystkie trzy rzeczy można mieć zawsze przy sobie;",19,11,122,"p1",5,NA,4,NA,3.9,3.9,4,2.4,3.5,4,3.5,3.5,4.8,4.5,0.06060606060606061,0,0,0,0,1,2,3,0,0,0,6,6,1.9459101490553132,3.4545454545454546,3.3636363636363638,1.2,2.4444444444444446,2.7777777777777777,26,80,70,60,36
10299,"sznurek","do stworzenia ciekawej biżuterii np. bransoletki",19,11,992,"p1",1,NA,2,NA,4.7,4.2,4.6,1.9,3.6,1.75,1,3.75,6.2,5.833333333333333,0.18181818181818182,12,1,0,1,1,1,0,0,0,1,17,2,2.8903717578961645,3.909090909090909,3.8181818181818183,3.9,2.888888888888889,4.888888888888889,16,61,50,34,36
12393,"sznurek","Do wszystkiego co można nawlec czyli  - ozdób choinkowych  - bransoletek  - kolczyków itp.",19,11,380,"p1",4,NA,3,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,"sznurek","Do zrobienia uwiązu lub haltera dla konia",19,11,381,"p2",7,NA,2,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,"sznurek","Do zawiązania snopka",19,11,382,"p3",2,NA,2,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,"sznurek","Do zmierzenia się a następnie na miarce jak nie ma w domu centymetra krawieckiego",19,11,383,"p4",5,NA,4,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,"sznurek","Do pieczenia",19,11,384,"p5",7,NA,3,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
13943,"sznurek","jako krawat",19,11,464,"p1",5,NA,3,NA,3.4,4.2,3.9,2.8,3.7,2,1,2.25,6.8,6,0.36363636363636365,2,0,2,0,3,0,2,1,1,1,12,5,2.5649493574615367,3.6363636363636362,3.6363636363636362,3.4,2.888888888888889,4.111111111111111,20,22,41,35,32
