ID,prompt,response,order,rating,openness,visual_arts,music,dance,architecture,writing,humor,inventions,Scientific discovery,theater_film,culinary_arts,CAQTotal
1,علب الصفيح,إعادة تدوير,1,1,40,3,0,0,0,0,3,0,0,0,1,7
1,علب الصفيح,ديكور,2,3,40,3,0,0,0,0,3,0,0,0,1,7
1,علب الصفيح,خلفية,3,4,40,3,0,0,0,0,3,0,0,0,1,7
1,علب الصفيح,مجسمات,4,4,40,3,0,0,0,0,3,0,0,0,1,7
1,علب الصفيح,لعب للأطفال,5,4,40,3,0,0,0,0,3,0,0,0,1,7
1,علب الصفيح,وضع الشمع داخلها,6,4,40,3,0,0,0,0,3,0,0,0,1,7
1,علب الصفيح,الزراعة,7,1,40,3,0,0,0,0,3,0,0,0,1,7
2,علب الصفيح,إعادة تدوير,1,1,43,3,0,5,0,0,1,3,1,0,1,14
2,علب الصفيح,إطارات السيارات,2,4,43,3,0,5,0,0,1,3,1,0,1,14
2,علب الصفيح,الأقنعة المعدنية,3,5,43,3,0,5,0,0,1,3,1,0,1,14
2,علب الصفيح,اللوحات الفنية,4,4,43,3,0,5,0,0,1,3,1,0,1,14
3,علب الصفيح,حصالة أموال,1,1,34,1,0,0,0,0,1,0,0,0,1,3
3,علب الصفيح,يضع بها أوراق وأشياء,2,2,34,1,0,0,0,0,1,0,0,0,1,3
3,علب الصفيح,عائق,3,4,34,1,0,0,0,0,1,0,0,0,1,3
3,علب الصفيح,الزراعة,4,1,34,1,0,0,0,0,1,0,0,0,1,3
3,علب الصفيح,سلة قمامة,5,3,34,1,0,0,0,0,1,0,0,0,1,3
3,علب الصفيح,علبة مناديل,6,3,34,1,0,0,0,0,1,0,0,0,1,3
3,علب الصفيح,يضع بها الأحذية,7,4,34,1,0,0,0,0,1,0,0,0,1,3
4,علب الصفيح,تخزين الطعام,1,2,39,2,1,0,0,0,0,0,0,0,1,4
4,علب الصفيح,صنع لوحة تشكيلية,2,5,39,2,1,0,0,0,0,0,0,0,1,4
4,علب الصفيح,أشكال هندسية,3,4,39,2,1,0,0,0,0,0,0,0,1,4
4,علب الصفيح,علبة لحفظ الأقلام,4,2,39,2,1,0,0,0,0,0,0,0,1,4
4,علب الصفيح,إكسسوارات,5,4,39,2,1,0,0,0,0,0,0,0,1,4
4,علب الصفيح,الزينة,6,3,39,2,1,0,0,0,0,0,0,0,1,4
5,علب الصفيح,مزهرية,1,2,41,10,0,0,0,0,6,1,1,5,1,24
5,علب الصفيح,صندوق,2,3,41,10,0,0,0,0,6,1,1,5,1,24
5,علب الصفيح,دلو لتخزين المياة,3,2,41,10,0,0,0,0,6,1,1,5,1,24
5,علب الصفيح,حصالة,4,1,41,10,0,0,0,0,6,1,1,5,1,24
5,علب الصفيح,مقلمة أقلام,5,2,41,10,0,0,0,0,6,1,1,5,1,24
6,علب الصفيح,أشكال (دوائر ومربعات),1,4,38,0,1,0,0,0,0,0,0,0,1,2
6,علب الصفيح,تلوين العلب و زخرفتها,2,2,38,0,1,0,0,0,0,0,0,0,1,2
6,علب الصفيح,الموسيقي,3,4,38,0,1,0,0,0,0,0,0,0,1,2
6,علب الصفيح,إعادة تدوير,4,1,38,0,1,0,0,0,0,0,0,0,1,2
6,علب الصفيح,تكوين ورد,5,4,38,0,1,0,0,0,0,0,0,0,1,2
6,علب الصفيح,فازة,6,3,38,0,1,0,0,0,0,0,0,0,1,2
7,علب الصفيح,إناء للزراعة,1,1,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,مقلمة,2,2,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,صورة بالعلب,3,4,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,فازة,4,3,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,عمل كرسي,5,3,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,إعادة تدوير,6,1,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,أشكال هندسية,7,4,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,الزينة,8,3,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,بيت للحيوانات الأليفة,9,4,40,1,1,0,0,0,0,0,0,0,1,3
7,علب الصفيح,شنطة,10,4,40,1,1,0,0,0,0,0,0,0,1,3
8,علب الصفيح,صنع أقلام,1,4,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,زجاجة مياه,2,2,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,أطباق للأكل وحلة,3,3,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,أدوات كالمقلمة,4,3,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,سلك مواعين,5,4,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,أسلاك كهرباء,6,5,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,حنفيات مياه,7,5,32,0,0,0,7,0,4,1,7,0,0,19
8,علب الصفيح,أجهزة كهربائية,8,3,32,0,0,0,7,0,4,1,7,0,0,19
