"ID","prompt","response","item_english","rater1","rater2","rater3","rater4","openness","CAQ","set"
101,"筷子","做头簪","chopsticks",2,2,1,2,40,4,3
101,"筷子","插在土里固定农作物","chopsticks",2,4,2,2,40,4,3
101,"筷子","绑起来做糕点印花","chopsticks",3,3,5,5,40,4,3
101,"易拉罐","养花","can",2,2,2,2,40,4,3
101,"易拉罐","压扁垫桌脚","can",2,3,3,3,40,4,3
101,"易拉罐","做装饰物","can",1,4,2,1,40,4,3
102,"筷子","当成发簪","chopsticks",2,2,1,3,34,1,3
102,"筷子","搅拌","chopsticks",1,1,1,1,34,1,3
102,"筷子","积木","chopsticks",3,4,2,3,34,1,3
102,"易拉罐","做饭的容器","can",1,1,1,1,34,1,3
102,"易拉罐","灯笼","can",4,3,2,2,34,1,3
102,"易拉罐","作清洁球洗碗","can",4,3,3,3,34,1,3
103,"筷子","发簪","chopsticks",2,2,1,3,24,0,3
103,"筷子","直尺","chopsticks",2,2,2,2,24,0,3
103,"筷子","搅拌棒","chopsticks",1,3,1,1,24,0,3
103,"易拉罐","枕头","can",3,4,1,3,24,0,3
103,"易拉罐","笔筒","can",1,1,1,1,24,0,3
103,"易拉罐","打人工具","can",2,4,2,4,24,0,3
104,"筷子","吃饭","chopsticks",1,1,1,1,35,0,3
104,"筷子","打假","chopsticks",2,1,2,3,35,0,3
104,"筷子","武器","chopsticks",2,2,1,3,35,0,3
104,"易拉罐","笔盒","can",1,1,1,1,35,0,3
104,"易拉罐","管子","can",3,2,2,3,35,0,3
104,"易拉罐","垃圾桶","can",3,1,1,3,35,0,3
105,"筷子","笔","chopsticks",2,1,2,3,43,6,3
105,"筷子","武器","chopsticks",2,2,1,3,43,6,3
105,"筷子","发簪","chopsticks",2,2,1,3,43,6,3
105,"易拉罐","水杯","can",2,1,1,2,43,6,3
105,"易拉罐","凳子","can",3,3,3,3,43,6,3
105,"易拉罐","暗器","can",2,4,3,5,43,6,3
106,"筷子","柴火","chopsticks",2,2,2,1,39,1,3
106,"筷子","竹签","chopsticks",2,1,1,1,39,1,3
106,"筷子","衣架","chopsticks",3,2,2,3,39,1,3
106,"易拉罐","排气管","can",3,3,3,4,39,1,3
106,"易拉罐","笔筒","can",1,1,1,1,39,1,3
106,"易拉罐","花盆","can",2,2,2,2,39,1,3
107,"筷子","发饰","chopsticks",3,2,1,2,45,17,3
107,"筷子","竹板","chopsticks",2,3,1,2,45,17,3
107,"筷子","架子","chopsticks",3,2,1,2,45,17,3
107,"易拉罐","玩具","can",2,2,2,2,45,17,3
107,"易拉罐","笔筒","can",1,1,1,1,45,17,3
107,"易拉罐","装饰物","can",1,4,2,1,45,17,3
108,"筷子","发簪","chopsticks",2,2,1,3,39,2,3
108,"筷子","门拴","chopsticks",2,1,2,3,39,2,3
108,"筷子","炭笔","chopsticks",2,1,2,2,39,2,3
108,"易拉罐","存钱罐","can",2,1,1,2,39,2,3
108,"易拉罐","烧烤架","can",3,3,4,3,39,2,3
108,"易拉罐","花盆","can",2,2,2,2,39,2,3
109,"筷子","火柴","chopsticks",3,2,2,1,48,2,3
109,"筷子","发簪","chopsticks",2,2,1,3,48,2,3
