"ID","prompt","response","set","lab","response_cleaned","rater1","rater2"
1309,"brick","maken",6,3,"",0,1
1368,"brick","kunt",6,3,"",0,0
1422,"brick","Veel",6,3,"",0,0
1484,"brick","'",6,3,"",0,0
1484,"brick","'",6,3,"",0,0
1717,"brick","...",6,3,"",0,0
1889,"brick","maken",6,3,"",0,1
1897,"brick","maken",6,3,"",0,1
1731,"brick","Aaien",6,3,"aaien",4,4
1519,"brick","als aandenken aan iets in je kamer leggen",6,3,"aandenken kamer leggen",3,3
1690,"brick","aangeven van een plek",6,3,"aangeven plek",2,3
1881,"brick","aannemer",6,3,"aannemer",0,0
1875,"brick","aanschouwen",6,3,"aanschouwen",3,3
1308,"brick","als accessoire gebruiken",6,3,"accessoire",3,3
1449,"brick","als assecoire ",6,3,"accessoire",3,3
1847,"brick","accessoire",6,3,"accessoire",3,3
1608,"brick","assesoires",6,3,"accessoires",3,3
1552,"brick","afbakening",6,3,"afbakening",2,2
1735,"brick","afbouwen",6,3,"afbouwen",3,1
1722,"brick","afbreken",6,3,"afbreken",2,2
1632,"brick","afdakje",6,3,"afdakje",4,1
1337,"brick"," iets afdekken",6,3,"afdekken",3,1
1286,"brick","afdichten",6,3,"afdichten",3,1
1707,"brick","afkoelplaat",6,3,"afkoelplaat",4,4
1419,"brick","als afscheiding van een tuin",6,3,"afscheiding tuin",2,2
1833,"brick","afsluiten",6,3,"afsluiten",3,2
1896,"brick","afzetting",6,3,"afzetting",2,2
1422,"brick","Agressie",6,3,"agressie",0,0
1278,"brick","agressie afreageer middel",6,3,"agressie afreageren middel",2,3
1734,"brick","agressieopvanger",6,3,"agressie opvangen",2,3
1314,"brick","agressie uiten",6,3,"agressie uiten",2,3
1433,"brick","doen alsof het een telefoon is",6,3,"alsof telefoon",4,4
1278,"brick","alternatief krijt",6,3,"alternatief krijt",4,3
1278,"brick","alternatieve dildo",6,3,"alternatieve dildo",4,3
1278,"brick","alternatieve heroine",6,3,"alternatieve heroÃ¯ne",4,4
1702,"brick","alternatieve kunst",6,3,"alternatieve kunst",3,3
1278,"brick","alternatieve plant",6,3,"alternatieve plant",4,4
1340,"brick","iets anders bouwen",6,3,"anders bouwen",1,1
1360,"brick","Anker",6,3,"anker",4,3
1433,"brick","gebruiken als anker",6,3,"anker",4,3
1468,"brick","anker",6,3,"anker",4,3
1474,"brick","anker",6,3,"anker",4,3
1553,"brick","anker",6,3,"anker",4,3
1873,"brick","appartement",6,3,"appartement",1,1
1422,"brick","Architectuur",6,3,"architectuur",1,1
1521,"brick","archtectuur maken",6,3,"architectuur",1,1
1562,"brick","architectuur",6,3,"architectuur",1,1
1358,"brick","armleuning",6,3,"armleuning",3,3
1360,"brick","Armleuning",6,3,"armleuning",3,3
1724,"brick","armleuninh",6,3,"armleuning",3,3
1734,"brick","asbak",6,3,"asbak",3,3
1831,"brick","of als asbak",6,3,"asbak",3,3
1536,"brick","Asfalt leggen",6,3,"asfalt leggen",2,1
1368,"brick","attribute ",6,3,"attributen",2,2
1509,"brick","gebruiken als attribuut",6,3,"attribuut",2,2
1704,"brick","auto van maken",6,3,"auto",4,4
1611,"brick","auto omhoog zetten zonder banden",6,3,"auto omhoog zetten banden",3,3
1480,"brick","auto op zijn plaats houd ding",6,3,"auto plaats houd ding",2,2
1654,"brick","badkuip",6,3,"badkuip",0,3
1422,"brick","Bak",6,3,"bak",2,2
1755,"brick","bak",6,3,"bak",2,2
1554,"brick","een bak maken waarin je aarde en bloemen in kan planten",6,3,"bak waarin aarde bloemen planten",2,2
1755,"brick","bakje is handig",6,3,"bakje handig",2,2
1309,"brick","bakken",6,3,"bakken",2,2
1322,"brick","bakken",6,3,"bakken",2,2
1344,"brick","bakken ",6,3,"bakken",2,2
1366,"brick","iets op bakken",6,3,"bakken",3,2
1590,"brick","bakken",6,3,"bakken",2,2
1735,"brick","bakken",6,3,"bakken",2,2
1861,"brick","bakken",6,3,"bakken",2,2
1874,"brick","bakken",6,3,"bakken",2,2
1875,"brick","bakken",6,3,"bakken",2,2
1667,"brick","bakken van een steen",6,3,"bakken steen",2,2
1667,"brick","bakkers teen",6,3,"bakkers teen",0,2
1424,"brick","bakplaat",6,3,"bakplaat",3,2
1406,"brick","baksteen als deurstopper",6,3,"baksteen deurstopper",2,2
1673,"brick","de baksteen gebruiken als gewicht tijdens het sproten",6,3,"baksteen gewicht tijdens sproten",3,3
1316,"brick","baksteen gooien als sport",6,3,"baksteen gooien sport",3,2
1406,"brick","Baksteen muur",6,3,"baksteen muur",1,1
1845,"brick","je kan de baksteen verven",6,3,"baksteen verven",3,2
1410,"brick","baksteen werpen (ipv balwerpen)",6,3,"baksteen werpen",3,2
1434,"brick","baksteen werpen",6,3,"baksteen werpen",3,2
1702,"brick","twee bakstenen: een doel voor voetbal",6,3,"bakstenen doel voetbal",3,3
1406,"brick","bakstene douche",6,3,"bakstenen douche",2,2
1406,"brick","Bakstene grond",6,3,"bakstenen grond",1,1
1678,"brick","bakstenen muur in huis",6,3,"bakstenen muur huis",1,1
1667,"brick","bakstenen vloer",6,3,"bakstenen vloer",1,1
1458,"brick","bal",6,3,"bal",3,4
1632,"brick","bal",6,3,"bal",3,4
1734,"brick","bal",6,3,"bal",3,4
1788,"brick","bal",6,3,"bal",3,4
1802,"brick","bal",6,3,"bal",3,4
1831,"brick","bal",6,3,"bal",3,4
1836,"brick","bal",6,3,"bal",3,4
1844,"brick","bal",6,3,"bal",3,4
1847,"brick","bal",6,3,"bal",3,4
