ID,prompt,response,set,lab,response_cleaned,rater1,rater2,rater3,Total_CAQ,Total_KDOCS
100,steen,Voor,7,3,,0,0,0,0,169
100,steen,Hun,7,3,,0,0,0,0,169
111,steen,Veel,7,3,,0,0,0,3,143
89,steen,gebruiken als,7,3,,0,0,0,17,194
4,steen,Iets aandrukken,7,3,aandrukken,2,2,2,0,142
4,steen,Iets aandrukken,7,3,aandrukken,2,2,2,0,142
116,steen,Aandrukken,7,3,aandrukken,2,2,2,1,150
99,steen,Aanvallen,7,3,aanvallen,3,0,2,1,151
31,steen,als achtergrond,7,3,achtergrond,3,3,3,2,163
71,steen,Achtergrond foto,7,3,achtergrond foto,3,3,3,8,162
69,steen,Afbakening,7,3,afbakening,2,2,2,0,131
45,steen,afgrenzing maken,7,3,afgrenzing,2,2,2,8,157
36,steen,afrastering,7,3,afrastering,2,2,2,7,159
47,steen,Afscheiding,7,3,afscheiding,2,2,2,2,152
2,steen,afscheiding in boekenkast,7,3,afscheiding boekenkast,4,2,2,8,162
37,steen,Afscheiding maken op grond,7,3,afscheiding grond,2,2,2,4,164
93,steen,Afsta,7,3,afsta,0,0,0,5,186
23,steen,Als afzetting,7,3,afzetting,2,2,2,1,147
20,steen,Afzetting,7,3,afzetting,2,2,2,1,153
18,steen,Akker,7,3,akker,0,2,2,3,137
18,steen,Akkers,7,3,akkers,0,2,2,3,137
93,steen,Alweer die baksteen?,7,3,alweer baksteen,0,0,0,5,186
53,steen,anker,7,3,anker,3,3,3,1,157
74,steen,Ankeren,7,3,ankeren,3,3,3,1,154
60,steen,Appartement,7,3,appartement,1,0,1,5,191
20,steen,Aquaduct,7,3,aquaduct,1,0,2,1,153
42,steen,Architect,7,3,architect,0,0,3,11,169
42,steen,Architectuur,7,3,architectuur,1,0,3,11,169
76,steen,architectuur,7,3,architectuur,1,0,3,8,151
96,steen,Asbakken,7,3,asbakken,3,0,3,3,192
100,steen,At,7,3,at,0,0,0,0,169
83,steen,Bak,7,3,bak,2,1,2,3,148
98,steen,Bak,7,3,bak,2,1,2,4,202
103,steen,Bakplaat,7,3,bakplaat,3,4,3,3,135
22,steen,Bakstenen schilderen,7,3,bakstenen schilderen,3,3,3,9,199
7,steen,Bal,7,3,bal,3,4,3,2,161
11,steen,Gebruiken bij band verwisselen,7,3,band verwisselen,4,4,3,4,163
75,steen,Bank maken,7,3,bank,3,3,3,1,135
95,steen,een bar van maken,7,3,bar,2,1,3,3,153
128,steen,Bbq (zoals bij parken),7,3,barbecue,2,1,2,4,130
92,steen,barbecue,7,3,barbecue,2,1,2,4,160
46,steen,Barbecue,7,3,barbecue,2,1,2,3,136
90,steen,Barricade,7,3,barricade,2,2,2,0,119
90,steen,Barricade,7,3,barricade,2,2,2,0,119
85,steen,Bedreigen,7,3,bedreigen,2,2,2,5,147
14,steen,beeld maken,7,3,beeld,2,3,3,7,159
14,steen,beeld maken,7,3,beeld,2,3,3,7,159
128,steen,Beeld,7,3,beeld,2,3,3,4,130
128,steen,Beeld bouwen,7,3,beeld bouwen,2,3,3,4,130
110,steen,Beelden,7,3,beelden,2,3,3,3,176
110,steen,Beelden,7,3,beelden,2,3,3,3,176
95,steen,beeldhouw werk,7,3,beeldhouw werk,2,3,3,3,153
7,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,2,161
84,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,2,145
85,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,5,147
7,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,2,161
84,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,2,145
85,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,5,147
83,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,3,148
86,steen,Beeldhouwen,7,3,beeldhouwen,2,3,3,5,133
51,steen,begraven,7,3,begraven,2,0,1,1,148
111,steen,Beroep,7,3,beroep,0,0,3,3,143
7,steen,Beschilderen,7,3,beschilderen,2,3,3,2,161
80,steen,Beschilderen,7,3,beschilderen,2,3,3,9,183
20,steen,Beschilderen,7,3,beschilderen,2,3,3,1,153
34,steen,beschilderen,7,3,beschilderen,2,3,3,6,151
47,steen,Beschilderen,7,3,beschilderen,2,3,3,2,152
37,steen,Beschilderen,7,3,beschilderen,2,3,3,4,164
20,steen,Beschutting,7,3,beschutting,2,2,2,1,153
68,steen,Bestek,7,3,bestek,1,5,4,2,125
92,steen,betegelen,7,3,betegelen,1,1,1,4,160
42,steen,Beton,7,3,beton,1,0,1,11,169
80,steen,Iemand mee bewusteloos slaan,7,3,bewusteloos slaan,2,1,2,9,183
93,steen,Bieropener,7,3,bieropener,4,4,3,5,186
96,steen,Bloembakken,7,3,bloembakken,3,1,3,3,192
120,steen,bloemenhouder,7,3,bloemenhouder,3,1,3,3,135
114,steen,Bloempot,7,3,bloempot,3,1,3,4,135
11,steen,Bloempot van maken,7,3,bloempot,3,1,3,4,163
110,steen,Blok,7,3,blok,1,0,1,3,176
98,steen,Blok,7,3,blok,1,0,1,4,202
23,steen,Als blokkade,7,3,blokkade,2,2,2,1,147
59,steen,Bob de bouwer,7,3,bob bouwer,0,0,3,3,140
11,steen,Boe,7,3,boe,0,0,0,4,163
11,steen,Boekenhouder,7,3,boekenhouder,4,3,2,4,163
102,steen,Boekenhouder,7,3,boekenhouder,4,3,2,5,177
10,steen,als boekenstandaard,7,3,boekenstandaard,4,3,2,4,140
10,steen,als boekensteun,7,3,boekensteun,4,3,2,4,140
47,steen,Boekensteun,7,3,boekensteun,4,3,2,2,152
49,steen,boekensteun,7,3,boekensteun,4,3,2,8,130
102,steen,Boekhouder,7,3,boekhouder,4,3,2,5,177
38,steen,als boksbal,7,3,boksbal,4,4,3,6,140
54,steen,Boodschap/ kerstwens voor medestudenten,7,3,boodschap kerstwens medestudenten,2,0,4,6,183
71,steen,Boog maken,7,3,boog,1,0,2,8,162
12,steen,Boog,7,3,boog,1,0,2,0,152
97,steen,Boot,7,3,boot,1,0,3,1,152
80,steen,Als bord gebruiken,7,3,bord,3,4,3,9,183
110,steen,Bord,7,3,bord,3,4,3,3,176
7,steen,Bord,7,3,bord,3,4,3,2,161
25,steen,Een bord voor een hipster restaurant,7,3,bord hipster restaurant,5,4,3,4,174
68,steen,Borstel,7,3,borstel,1,5,3,2,125
59,steen,Boterhammen,7,3,boterhammen,1,0,4,3,140
108,steen,Bouw,7,3,bouw,1,1,1,1,159
4,steen,Iets bouwen,7,3,bouwen,1,1,1,0,142
7,steen,Bouwen,7,3,bouwen,1,1,1,2,161
10,steen,bouwen,7,3,bouwen,1,1,1,4,140
22,steen,Bouwen,7,3,bouwen,1,1,1,9,199
31,steen,Bouwen,7,3,bouwen,1,1,1,2,163
36,steen,bouwen,7,3,bouwen,1,1,1,7,159
55,steen,Bouwen,7,3,bouwen,1,1,1,7,162
58,steen,Bouwen,7,3,bouwen,1,1,1,3,178
61,steen,Bouwen,7,3,bouwen,1,1,1,1,135
80,steen,Bouwen,7,3,bouwen,1,1,1,9,183
85,steen,Bouwen,7,3,bouwen,1,1,1,5,147
