ID,prompt,response,coder1,coder2,coder3,coder4,coder5,C-act,C-ach
21,bouteille,luminaire,3,2,3,2,1,35,106
21,bouteille,pieds de tabouret,1,2,2,3,2,35,106
21,couteau,décoration,0,3,2,1,2,35,106
21,couteau,horloge,3,3,3,2,2,35,106
21,pneu,cache-pot,0,3,2,1,2,35,106
21,pneu,décoration de porte,2,1,0,1,2,35,106
22,bouteille,abat-jour,3,2,3,2,1,60,92
22,bouteille,rouleau à pâtisserie,1,2,2,1,0,60,92
22,couteau,javelot,2,2,2,1,1,60,92
22,couteau,règle,3,2,2,3,2,60,92
22,pneu,décoration,2,1,0,1,2,60,92
22,pneu,marchepied,3,1,0,2,3,60,92
23,bouteille,écraser ou casser,0,0,0,0,0,64,102
23,bouteille,sculpture,4,3,2,2,1,64,102
23,couteau,aiguille d'horloge,3,3,1,3,1,64,102
23,couteau,manger,0,1,0,0,0,64,102
23,pneu,balançoire,0,2,3,1,1,64,102
23,pneu,instrument de musique,3,3,3,1,2,64,102
24,bouteille,épée,2,3,1,2,1,46,77
24,bouteille,récipient de pâte à gâteau,1,1,2,0,1,46,77
24,couteau,couper les cheveux,2,0,1,1,1,46,77
24,couteau,tailler un crayon,3,1,1,0,1,46,77
24,pneu,cabane à oiseaux,3,1,4,2,3,46,77
24,pneu,panier de basket,2,4,3,2,1,46,77
25,bouteille,cassée comme des barbelés au dessus d'un mur,4,1,3,1,1,13,31
25,bouteille,objet de massage pour le dos,3,2,1,2,2,13,31
25,couteau,fixer un objet au mur,3,1,1,3,1,13,31
25,couteau,mobile réfléchissant les rayons du soleil,3,3,3,3,2,13,31
25,pneu,amortisseur bateau,1,1,1,1,1,13,31
25,pneu,bouée,1,3,1,1,2,13,31
26,bouteille,culture de vers de terre,2,2,1,2,1,41,39
26,bouteille,réservoir à pièces rouges,0,2,1,1,0,41,39
26,couteau,ouvrir une bière,1,1,2,1,0,41,39
26,couteau,se gratter,3,1,2,2,1,41,39
26,pneu,balançoire,0,2,3,1,1,41,39
26,pneu,pot de fleurs,0,3,2,1,2,41,39
27,bouteille,cage à insectes/fourmilière,1,2,2,1,1,51,108
27,bouteille,fusée,4,3,3,3,2,51,108
27,couteau,permet de creuser,2,1,1,2,0,51,108
27,couteau,se lancer,2,1,0,1,1,51,108
27,pneu,chaise,1,3,2,1,3,51,108
27,pneu,tampon d'auto-tamponneuse,0,1,1,1,1,51,108
28,bouteille,mobilier urbain anti-sdf,4,1,0,3,2,36,52
28,bouteille,sculpture pour la place de la république,4,2,1,3,2,36,52
28,couteau,abat-jour,4,3,2,3,1,36,52
28,couteau,collier,3,2,2,3,2,36,52
28,pneu,combustible pour cheminée,0,1,2,1,2,36,52
28,pneu,projectile pour catapulte,3,1,1,1,1,36,52
29,bouteille,Batte de baseball,2,3,1,3,1,43,55
