"ID","prompt","response","set","rater1","rater2","CAAC_TOT","NEO_OPEN"
1,"Attaccapanni","altalena per uccelli",16,4,3,1.69,31
1,"Attaccapanni","porta asciugamani",16,2,2,1.69,31
1,"Barile","accessorio da ristorante",16,2,2,1.69,31
1,"Barile","baule",16,2,2,1.69,31
1,"Barile","cuccia per cani",16,2,2,1.69,31
1,"Barile","mobile",16,2,2,1.69,31
1,"Barile","sedia",16,2,2,1.69,31
1,"Barile","tavolo",16,2,2,1.69,31
1,"Bottiglia di plastica","borsa dell'acqua calda",16,2,3,1.69,31
1,"Bottiglia di plastica","pesetto da palestra",16,2,2,1.69,31
1,"Bottiglia di plastica","portapenne",16,2,2,1.69,31
1,"Bottiglia di plastica","spaventapasseri",16,4,3,1.69,31
1,"Bottiglia di plastica","tavolozza per acquarelli",16,3,4,1.69,31
1,"Bottiglia di plastica","trappola per gamberetti",16,4,3,1.69,31
1,"Lampadina","decorazione di natale",16,2,2,1.69,31
1,"Libro","ferma porte",16,2,2,1.69,31
1,"Libro","origami",16,2,2,1.69,31
1,"Libro","portafiori",16,2,3,1.69,31
1,"Libro","si può usare per correggere la postura",16,3,4,1.69,31
1,"Sedia","decorazione di interni come porta fiori appesa",16,2,2,1.69,31
1,"Sedia","piano rialzato",16,2,2,1.69,31
1,"Sedia","una casetta non finita",16,4,3,1.69,31
2,"Attaccapanni","arco",16,2,2,1.64,21
2,"Attaccapanni","balestra",16,4,5,1.64,21
2,"Attaccapanni","base di un piedistallo",16,3,2,1.64,21
2,"Attaccapanni","fionda",16,3,3,1.64,21
2,"Attaccapanni","lampadario",16,2,2,1.64,21
2,"Attaccapanni","stendino",16,2,2,1.64,21
2,"Barile","contenitore",16,1,1,1.64,21
2,"Barile","cuccia",16,2,2,1.64,21
2,"Barile","espositore",16,2,2,1.64,21
2,"Barile","mobile",16,2,2,1.64,21
2,"Barile","portapiante",16,2,2,1.64,21
2,"Barile","portavini",16,2,2,1.64,21
2,"Barile","secchio",16,2,2,1.64,21
2,"Barile","sedia",16,2,2,1.64,21
2,"Barile","tavolo",16,2,2,1.64,21
2,"Bottiglia di plastica","albero",16,2,2,1.64,21
2,"Bottiglia di plastica","clessidra",16,3,3,1.64,21
2,"Bottiglia di plastica","fiori",16,2,2,1.64,21
2,"Bottiglia di plastica","lampadari",16,2,2,1.64,21
2,"Bottiglia di plastica","lampade",16,2,2,1.64,21
2,"Bottiglia di plastica","macchina",16,3,3,1.64,21
2,"Bottiglia di plastica","machina",16,3,3,1.64,21
2,"Bottiglia di plastica","palline",16,2,2,1.64,21
2,"Bottiglia di plastica","peso",16,2,2,1.64,21
2,"Lampadina","palline di Natale",16,2,2,1.64,21
2,"Lampadina","portapianta",16,2,2,1.64,21
2,"Libro","fermacarte",16,2,2,1.64,21
2,"Libro","livella",16,2,2,1.64,21
2,"Libro","portaoggetti",16,2,2,1.64,21
2,"Libro","righello",16,2,2,1.64,21
2,"Sedia","sgabello",16,2,2,1.64,21
2,"Sedia","tavolino",16,2,2,1.64,21
3,"Attaccapanni","antenna",16,4,5,1.06,20
3,"Barile","portapiante",16,2,2,1.06,20
3,"Barile","soprammobile",16,2,2,1.06,20
3,"Barile","tavolo",16,2,2,1.06,20
3,"Bottiglia di plastica","contenitore",16,2,2,1.06,20
3,"Bottiglia di plastica","dama realizzata con i tappi",16,4,4,1.06,20
