"ID","prompt","response","set","lab","rater1","rater2","rater3","rater4","C-act","C-ach"
21,"bouteille","support de lampe",8,4,4,3,2,2,35,106
21,"bouteille","vase",8,4,2,2,2,2,35,106
21,"bouteille","pieds de tabouret",8,4,5,5,4,3,35,106
21,"bouteille","distributeur de pâtes, céréales",8,4,5,3,2,3,35,106
21,"bouteille","musique",8,4,4,2,2,3,35,106
21,"bouteille","luminaire",8,4,4,2,2,2,35,106
21,"couteau","décoration",8,4,4,3,2,2,35,106
21,"couteau","jonglerie",8,4,3,3,3,3,35,106
21,"couteau","sculpter",8,4,2,2,3,2,35,106
21,"couteau","aiguille d'horloge",8,4,4,4,2,4,35,106
21,"pneu","balançoire",8,4,3,2,2,2,35,106
21,"pneu","siège",8,4,2,3,3,2,35,106
21,"pneu","jeu",8,4,3,3,2,2,35,106
21,"pneu","cache-pot",8,4,5,2,3,3,35,106
21,"pneu","cale (voiture)",8,4,2,3,3,3,35,106
21,"pneu","décoration",8,4,3,3,2,2,35,106
22,"bouteille","abat-jour",8,4,4,4,2,3,60,92
22,"bouteille","aquarium",8,4,4,5,2,3,60,92
22,"bouteille","Entonnoir",8,4,3,3,2,3,60,92
22,"bouteille","rouleau à patisserie",8,4,5,4,3,3,60,92
22,"bouteille","emporte-pièce",8,4,4,4,4,3,60,92
22,"bouteille","support décoratif",8,4,3,2,2,2,60,92
22,"bouteille","bocal",8,4,2,3,2,2,60,92
22,"bouteille","support pour maintenir une feuille",8,4,2,4,5,4,60,92
22,"bouteille","ballon",8,4,5,4,2,4,60,92
22,"bouteille","haltère",8,4,3,2,2,3,60,92
22,"bouteille","objet à lancer",8,4,2,2,1,2,60,92
22,"bouteille","relais (course)",8,4,3,4,4,4,60,92
22,"couteau","pour écrire sur du bois",8,4,2,2,3,2,60,92
22,"couteau","règle",8,4,5,4,4,4,60,92
22,"couteau","toupie",8,4,4,3,1,3,60,92
22,"couteau","Pour casser un œuf",8,4,2,2,5,3,60,92
22,"couteau","javelot",8,4,3,3,2,3,60,92
22,"couteau","fléchette",8,4,3,3,2,2,60,92
22,"couteau","cuillère (si on utilise le côté non coupant)",8,4,2,2,2,2,60,92
22,"pneu","roue",8,4,1,1,1,1,60,92
22,"pneu","siège",8,4,2,3,3,2,60,92
22,"pneu","décoration",8,4,4,3,2,2,60,92
22,"pneu","réutiliser le caoutchouc",8,4,4,3,2,2,60,92
22,"pneu","pied de table",8,4,4,4,3,3,60,92
22,"pneu","haltère",8,4,2,2,2,3,60,92
