"ID","prompt","response","set","lp","order","rater1","rater2","rater3","rater4","iq_all","visual","music","dance","archit","writing","humor","science","theatre","culinary","caq","cpi","cse","growth","fixed","IRT","Nv","Nw","Ac","Ap","Ci","Co","Ee","Ea","Oi","Oo","N_BFAS","A_BFAS","C_BFAS","E_BFAS","O_BFAS","CREAT_ACT","inventions","CAQLN","CACTLN","bric_pre","bric_pos","can_pret","can_pos","sqCAQ","lnvisual","lnmusic","Extr","Aggr","Cons","Neu","Openn","Mach","Psych","Narc","CPI","CSE","ACTIVITY_GENERAL","discov","caq_ln","self_everyday","scholarly","performance","mechanical_science","artistic","badd_iq","string_cse","can_cse","brick_cse","age"
621,"cegła","podporu samochodu podczas wymiany koła",2,844,"p1",NA,1,2,TRUE,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.4,4.2,2.5,3.7,2.25,2,4.25,6,6,0.06060606060606061,1,0.6931471805599453,4.545454545454546,4.090909090909091,2.9,3,2.888888888888889,34,56.5,40,50,27
621,"puszka","puszkę jako popielniczkę",2,905,"p1",1,1,NA,NA,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.4,4.2,2.5,3.7,2.25,2,4.25,6,6,0.06060606060606061,1,0.6931471805599453,4.545454545454546,4.090909090909091,2.9,3,2.888888888888889,34,56.5,40,50,27
621,"sznurek","do rozwieszania prania",2,859,"p1",1,NA,2,NA,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.4,4.2,2.5,3.7,2.25,2,4.25,6,6,0.06060606060606061,1,0.6931471805599453,4.545454545454546,4.090909090909091,2.9,3,2.888888888888889,34,56.5,40,50,27
692,"cegła","Zrobienia słupka w bramce (do gry w piłkę lub hokeja)",2,167,"p1",NA,1,3,TRUE,9,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3.4,3,2.3,2.9,3.25,3.25,3,4.2,4,0.06060606060606061,0,0.6931471805599453,3.272727272727273,2.3636363636363638,1.6,1.6666666666666667,1.3333333333333333,21,32,70.5,55,32
692,"puszka","Po zgnieceniu do gry w hokeja na lodzie (zamiast krążka)",2,182,"p1",5,1,NA,NA,9,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3.4,3,2.3,2.9,3.25,3.25,3,4.2,4,0.06060606060606061,0,0.6931471805599453,3.272727272727273,2.3636363636363638,1.6,1.6666666666666667,1.3333333333333333,21,32,70.5,55,32
692,"sznurek","Zamiast paska",2,166,"p1",1,NA,2,NA,9,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3.4,3,2.3,2.9,3.25,3.25,3,4.2,4,0.06060606060606061,0,0.6931471805599453,3.272727272727273,2.3636363636363638,1.6,1.6666666666666667,1.3333333333333333,21,32,70.5,55,32
1000,"cegła","Obciążenie sieci rybackiej",1,967,"p2",2,4,3,NA,0.1064516129032258,1,0,0,0,1,2,0,2,6,12,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,0,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,"cegła","Podstawa pod tapczan",1,966,"p1",2,2,2,NA,0.1064516129032258,1,0,0,0,1,2,0,2,6,12,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,0,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,"cegła","Zastosowanie cegły zamiast podnośnika samochodowego",1,968,"p3",2,4,2,NA,0.1064516129032258,1,0,0,0,1,2,0,2,6,12,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,0,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,"puszka","cel do strzelania",1,1131,"p3",2,2,2,NA,0.1064516129032258,1,0,0,0,1,2,0,2,6,12,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,0,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
