"ID","prompt","response","set","rater1","rater2","rater3","RAPM-Gf","BFI-Extraversion","BFI-Agreeableness","BFI-Consciousness","BFI-Openness","BFI-Neuroticism"
1,"газета","""Бинокль"" (рассматривать предметы в далеке)",1,3,3,3,NA,NA,NA,NA,NA,NA
1,"картонная коробка","Сделать из коробки тумбу с ящиками",2,2,2,2,8,28,19,24,39,34
2,"газета","""Пакетик"" - сверток для семечек",1,3,2,2,NA,NA,NA,NA,NA,NA
2,"картонная коробка","Сделать полноценный жилой дом",2,1,2,1,8,28,19,24,39,34
3,"газета","""Палка"" для собаки (приносить-кидать)",1,3,3,3,NA,NA,NA,NA,NA,NA
3,"картонная коробка","Раскрасить и расклеить вместо обоев",2,2,2,2,8,28,19,24,39,34
4,"газета","""Папье-маше""",1,2,3,2,NA,NA,NA,NA,NA,NA
4,"картонная коробка","Использовать в качестве декора",2,2,2,2,8,28,19,24,39,34
5,"газета","""Подзорная труба""",1,3,3,2,NA,NA,NA,NA,NA,NA
5,"картонная коробка","Изготовление блокнотов",2,3,2,2,8,28,19,24,39,34
6,"газета","""Подзорная труба""",1,3,3,2,NA,NA,NA,NA,NA,NA
6,"картонная коробка","Домик для детей",2,1,1,1,8,28,19,24,39,34
7,"газета","""Подстилка"" из кусочков газеты для хомяка",1,3,3,2,NA,NA,NA,NA,NA,NA
7,"картонная коробка","Сделать крылья",2,2,3,2,8,28,19,24,39,34
8,"газета","""Полотенце"" для протирания стола или др. мебели",1,2,3,2,NA,NA,NA,NA,NA,NA
8,"картонная коробка","Склеить из маленьких коробок одну большую",2,1,2,1,8,28,19,24,39,34
9,"газета","3D конструктор из бумаги",1,5,5,4,NA,NA,NA,NA,NA,NA
9,"картонная коробка","Использовать материал для изготовления масок",2,2,2,2,8,28,19,24,39,34
10,"газета","3D объекты из иллюстраций в газете",1,5,4,4,NA,NA,NA,NA,NA,NA
10,"картонная коробка","Использовать в качестве холста",2,1,1,2,8,28,19,24,39,34
11,"газета","Азбука",1,1,3,4,NA,NA,NA,NA,NA,NA
11,"картонная коробка","Вырезать фигурки из коробок разных цветов, делая картину",2,2,2,2,8,28,19,24,39,34
12,"газета","Аксессуар",1,1,2,2,NA,NA,NA,NA,NA,NA
