ID,prompt,response,lp,order,coder1,coder2,coder3,coder4,Extr,Aggr,Cons,Neu,Openn,Mach,Psych,Narc,CPI,CSE,ACTIVITY_GENERAL,visual,music,dance,archit,writing,humor,discov,science,theatre,culinary,caq,iq_all,caq_ln,self_everyday,scholarly,performance,mechanical_science,artistic,badd_iq,string_cse,can_cse,brick_cse,age
621,sznurek,do rozwieszania prania,859,p1,1,NA,2,NA,4.4,4.4,4.2,2.5,3.7,2.25,2,4.25,6,6,0.06060606060606061,0,0,0,0,0,0,1,0,0,0,1,2,0.6931471805599453,4.545454545454546,4.090909090909091,2.9,3,2.888888888888889,34,56.5,40,50,27
692,sznurek,Zamiast paska,166,p1,1,NA,2,NA,2.9,3.4,3,2.3,2.9,3.25,3.25,3,4.2,4,0.06060606060606061,0,0,0,0,0,1,0,0,0,0,1,9,0.6931471805599453,3.272727272727273,2.3636363636363638,1.6,1.6666666666666667,1.3333333333333333,21,32,70.5,55,32
1335,sznurek,Zrobić z niego biżuterię,531,p1,1,NA,2,NA,3.5,3.6,2.7,3.4,3.2,3.25,3.5,5,5,6,0.15151515151515152,1,0,0,0,1,1,0,2,0,1,6,9,1.9459101490553132,3.727272727272727,4.181818181818182,2.5,2.3333333333333335,3.111111111111111,33,52,40,50.5,32
1488,sznurek,Jako ozdobę.,669,p1,2,NA,3,NA,3.2,3.8,3.2,2.6,3.5,2.25,2,4.25,5.4,5.5,0.06060606060606061,0,1,0,0,0,1,3,0,0,0,5,3,1.791759469228055,3.6363636363636362,3.3636363636363638,3,4.222222222222222,2.6666666666666665,15,50.5,51,59,32
1906,sznurek,do ozdoby,243,p1,2,NA,3,NA,2.6,3.4,3.2,2.5,3.3,3.75,4,2.5,4,3.8333333333333335,0.06060606060606061,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3,3.1818181818181817,2.3,3,3,34,40,29,32,36
1906,sznurek,do zabawy,244,p2,1,NA,3,NA,2.6,3.4,3.2,2.5,3.3,3.75,4,2.5,4,3.8333333333333335,0.06060606060606061,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3,3.1818181818181817,2.3,3,3,34,40,29,32,36
1906,sznurek,do cięcia,245,p3,1,NA,3,NA,2.6,3.4,3.2,2.5,3.3,3.75,4,2.5,4,3.8333333333333335,0.06060606060606061,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3,3.1818181818181817,2.3,3,3,34,40,29,32,36
4325,sznurek,makatka,436,p1,7,NA,3,NA,4,4.5,4.4,2.4,4,3.75,3,5,6.2,5.666666666666667,0.15151515151515152,0,1,1,0,1,0,0,0,1,1,5,3,1.791759469228055,4.636363636363637,3.727272727272727,2,1.2222222222222223,2.5555555555555554,27,61,70,60,27
4325,sznurek,związanie włosów,437,p2,2,NA,2,NA,4,4.5,4.4,2.4,4,3.75,3,5,6.2,5.666666666666667,0.15151515151515152,0,1,1,0,1,0,0,0,1,1,5,3,1.791759469228055,4.636363636363637,3.727272727272727,2,1.2222222222222223,2.5555555555555554,27,61,70,60,27
5211,sznurek,z kilku sznurków zrobić hamak,709,p1,4,NA,3,NA,2,3.4,2.7,2.5,2.6,2,4.75,1.25,3.4,4.833333333333333,0.06060606060606061,3,0,0,0,0,1,0,19,0,1,24,2,3.2188758248682006,3.090909090909091,3.272727272727273,1.3,3,1.2222222222222223,21,3,29.5,37.5,36
