"ID","prompt","response","set","lab","order","rater1","rater2","rater3","rater4","pre_pos","grp20","grp60","grp80","sd_raters","max_min_raters","n_judges"
109581021,"caixa de papelão","Guardar mudanças",20,12,1,NA,NA,NA,NA,1,6,12,17,NA,NA,0
109581021,"caixa de papelão","Caixa para doação de roupas",20,12,2,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581021,"caixa de papelão","Para guardar brinquedo",20,12,3,NA,NA,NA,NA,1,4,8,8,NA,NA,0
109581021,"caixa de papelão","Caixa serve como lixo",20,12,4,NA,NA,NA,NA,1,12,24,26,NA,NA,0
109581021,"caixa de papelão","Casa de boneca reciclado",20,12,5,NA,NA,NA,NA,1,2,5,30,NA,NA,0
109581021,"caixa de papelão","Caixa para anel de casamento",20,12,6,1,4,2,1,1,1,7,7,1.4142135623730951,3,2
109581021,"caixa de papelão","Caixa de sabonete",20,12,7,NA,NA,NA,NA,1,12,24,48,NA,NA,0
109581021,"caixa de papelão","Caixa de remédio",20,12,8,1,3,1,1,1,1,7,7,1,2,2
109581021,"caixa de papelão","Caixinha de óculos",20,12,9,NA,NA,NA,NA,1,1,55,69,NA,NA,0
109581021,"caixa de papelão","Porta lápis feito com caixa",20,12,10,NA,NA,NA,NA,1,1,41,49,NA,NA,0
109581021,"caixa de papelão","Caixa de sapato",20,12,11,NA,NA,NA,NA,1,6,43,52,NA,NA,0
109581021,"tijolo","Para construir churrasqueira",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
109581021,"tijolo","Construir casa",20,12,2,NA,NA,NA,NA,1,9,21,23,NA,NA,0
109581021,"tijolo","Piscina",20,12,3,NA,NA,NA,NA,1,1,30,34,NA,NA,0
109581021,"tijolo","Casa de boneca",20,12,4,NA,NA,NA,NA,1,2,5,30,NA,NA,0
109581021,"tijolo","Construir muro",20,12,5,NA,NA,NA,NA,1,9,21,23,NA,NA,0
108091881,"caixa de papelão","Para guardar sapatos",20,12,1,NA,NA,NA,NA,1,6,43,52,NA,NA,0
108091881,"caixa de papelão","Para levar compras",20,12,2,NA,NA,NA,NA,1,1,40,47,NA,NA,0
108091881,"caixa de papelão","Para colocar produtos de limpeza",20,12,3,NA,NA,NA,NA,1,1,34,77,NA,NA,0
108091881,"caixa de papelão","Para montar uma TV de brinquedo",20,12,4,NA,NA,NA,NA,1,4,8,8,NA,NA,0
108091881,"caixa de papelão","Para de sabonete",20,12,5,NA,NA,NA,NA,1,1,55,69,NA,NA,0
108091881,"caixa de papelão","Quando forma a caixa de celular",20,12,6,1,1,1,1,1,1,1,1,0,0,2
108091881,"caixa de papelão","Caixa de remédio",20,12,7,1,3,1,1,1,1,7,7,1,2,2
108091881,"caixa de papelão","Para guardar lápis",20,12,8,NA,NA,NA,NA,1,1,41,49,NA,NA,0
108091881,"tijolo","Construir banheiro",20,12,1,NA,NA,NA,NA,1,1,20,22,NA,NA,0
108091881,"tijolo","Churrasqueira",20,12,2,NA,NA,NA,NA,1,1,31,35,NA,NA,0
108091881,"tijolo","Casa de boneca",20,12,3,NA,NA,NA,NA,1,2,5,30,NA,NA,0
108091881,"tijolo","Quebrar janela",20,12,4,NA,NA,NA,NA,1,1,7,79,NA,NA,0
108091881,"tijolo","Construir muro",20,12,5,NA,NA,NA,NA,1,9,21,23,NA,NA,0
108091881,"tijolo","Construir vaso de planta",20,12,6,NA,NA,NA,NA,1,1,52,64,NA,NA,0
108091881,"tijolo","Piscina",20,12,7,NA,NA,NA,NA,1,1,30,34,NA,NA,0
108091881,"tijolo","Parede",20,12,8,NA,NA,NA,NA,1,14,28,32,NA,NA,0
108091881,"tijolo","Chão de tijolo",20,12,9,NA,NA,NA,NA,1,1,44,53,NA,NA,0
108091881,"tijolo","Balcão",20,12,10,NA,NA,NA,NA,1,8,17,19,NA,NA,0
106305957,"caixa de papelão","Guardar moedas",20,12,1,1,3,2,3,1,1,7,7,0.9574271077563381,2,2
106305957,"caixa de papelão","Guardar foto",20,12,2,1,3,1,1,1,1,7,7,1,2,2
106305957,"caixa de papelão","Guardar CD",20,12,3,1,3,1,1,1,1,7,7,1,2,2
106305957,"caixa de papelão","Guardar remédio",20,12,4,1,3,1,1,1,1,7,7,1,2,2
106305957,"tijolo","Fazer um muro",20,12,1,NA,NA,NA,NA,1,18,38,45,NA,NA,0
106305957,"tijolo","Construir casa",20,12,2,NA,NA,NA,NA,1,9,21,23,NA,NA,0
106305957,"tijolo","Fazer caixa de água",20,12,3,NA,NA,NA,NA,1,12,24,26,NA,NA,0
106305957,"tijolo","Fazer piso",20,12,4,NA,NA,NA,NA,1,10,22,24,NA,NA,0
105999019,"caixa de papelão","Caixa de brinquedo",20,12,1,NA,NA,NA,NA,1,4,8,8,NA,NA,0
105999019,"caixa de papelão","Guardar as roupas",20,12,2,NA,NA,NA,NA,1,6,12,17,NA,NA,0
105999019,"caixa de papelão","Se esconder na brincadeiro esconde-esconde",20,12,3,NA,NA,NA,NA,1,1,48,59,NA,NA,0
105999019,"caixa de papelão","Guardar materias de escola",20,12,4,NA,NA,NA,NA,1,1,60,75,NA,NA,0
105999019,"caixa de papelão","Guardar sapatos",20,12,5,NA,NA,NA,NA,1,6,43,52,NA,NA,0
105999019,"caixa de papelão","Guardar louças",20,12,6,NA,NA,NA,NA,1,6,12,17,NA,NA,0
