"ID","prompt","response","set","lab","rater1","rater2","rater3"
1,"газета","""Бинокль"" (рассматривать предметы в далеке)",21,13,3,3,3
2,"газета","""Пакетик"" - сверток для семечек",21,13,3,2,2
3,"газета","""Палка"" для собаки (приносить-кидать)",21,13,3,3,3
4,"газета","""Папье-маше""",21,13,2,3,2
5,"газета","""Подзорная труба""",21,13,3,3,2
6,"газета","""Подзорная труба""",21,13,3,3,2
7,"газета","""Подстилка"" из кусочков газеты для хомяка",21,13,3,3,2
8,"газета","""Полотенце"" для протирания стола или др. мебели",21,13,2,3,2
9,"газета","3D конструктор из бумаги",21,13,5,5,4
10,"газета","3D объекты из иллюстраций в газете",21,13,5,4,4
11,"газета","Азбука",21,13,1,3,4
12,"газета","Аксессуар",21,13,1,2,2
13,"газета","Аксессуар для собаки в виде плаща, но в сухую погоду",21,13,4,3,3
14,"газета","Альтернатива копирке",21,13,1,4,3
15,"газета","Аппликация",21,13,2,3,2
16,"газета","Арт-пространство, материал для искусства",21,13,3,3,2
17,"газета","Африканская чалма",21,13,4,4,4
18,"газета","Бабочка (галстук)",21,13,4,4,4
19,"газета","Бантик (как игрушка для кота)",21,13,5,4,2
20,"газета","Бить мух",21,13,2,2,2
21,"газета","Бить мух",21,13,2,2,2
22,"газета","Бить по голове",21,13,3,2,2
23,"газета","Блокнот для записей",21,13,2,1,2
24,"газета","Большое оригами",21,13,2,3,2
25,"газета","Браслет",21,13,3,3,3
26,"газета","Брать с собой на природу (подстилка)",21,13,2,2,2
27,"газета","Бронежилет (спрессованная)",21,13,4,4,4
28,"газета","Буквы можно использовать для анонимных записок",21,13,5,5,2
29,"газета","Бумага",21,13,1,1,1
30,"газета","Бумага (для записей рисунков)",21,13,2,1,2
31,"газета","Бумага для оригами",21,13,2,3,2
32,"газета","Бумага для оригами",21,13,2,3,2
33,"газета","Бумага для создания изделий (оригами и т. п.)",21,13,2,3,2
34,"газета","Бумажная игрушка",21,13,2,3,2
35,"газета","Бумажный самолёт",21,13,2,3,2
36,"газета","Бумажный шарик",21,13,2,2,2
37,"газета","Бусики детские",21,13,3,3,3
38,"газета","В виде ковра",21,13,3,2,3
39,"газета","В качестве дизайна помещения, украшать, вырезать части и вешать",21,13,3,3,3
40,"газета","В качестве одежды",21,13,2,2,2
41,"газета","В качестве подстилки",21,13,2,2,2
42,"газета","В качестве скатерти",21,13,3,2,2
43,"газета","В качестве смягчающего материала",21,13,3,3,3
44,"газета","В качестве ткани",21,13,3,2,2
45,"газета","В крайнем случае, как предмет одежды",21,13,2,2,2
46,"газета","В ней можно засушить растения для гербария",21,13,4,4,3
47,"газета","Веер",21,13,2,3,2
48,"газета","Веер",21,13,2,3,2
49,"газета","Веер",21,13,2,3,2
50,"газета","Веер",21,13,2,3,2
51,"газета","Веер",21,13,2,3,2
52,"газета","Веер",21,13,2,3,2
53,"газета","Веер",21,13,2,3,2
54,"газета","Веер",21,13,2,3,2
55,"газета","Веер (обмахиваться)",21,13,2,3,2
56,"газета","Веник",21,13,3,3,3
57,"газета","Верёвка",21,13,3,3,3
58,"газета","Весло",21,13,1,2,4
59,"газета","Взять подмышку",21,13,1,1,1
60,"газета","Влаговпитывающий материал",21,13,1,3,2
61,"газета","Вместо грунтовки под обои",21,13,2,2,2
62,"газета","Вместо занавесок",21,13,3,3,2
63,"газета","Вместо крыши",21,13,3,3,2
64,"газета","Вместо линз",21,13,3,1,3
65,"газета","Вместо москитной сетки заклеить вход",21,13,4,2,3
66,"газета","Вместо обоев",21,13,2,2,2
67,"газета","Вместо пенки в палатке",21,13,4,3,3
68,"газета","Вместо полотенца / туалетной бумаги",21,13,2,2,2
69,"газета","Вместо снежка (при игре)",21,13,3,3,2
70,"газета","Вместо стёкол в очки",21,13,3,1,3
71,"газета","Вместо стёкол в транспорте",21,13,4,2,3
72,"газета","Вместо тряпки для мытья стёкол",21,13,3,3,2
73,"газета","Воронка для крупы",21,13,3,4,2
74,"газета","Впитывать запах",21,13,4,3,3
75,"газета","Временная скатерть (для пикника, например)",21,13,3,3,2
76,"газета","Временная татуировка (долго прижимать газету к телу)",21,13,5,4,5
77,"газета","Вставить между дверью и косяком, чтобы дверь не открывалась",21,13,3,3,3
78,"газета","Выбирать из неё материал для диктанта",21,13,5,4,4
79,"газета","Выравнивать стол/шкаф",21,13,2,2,3
80,"газета","Вырезать буквы",21,13,3,3,2
81,"газета","Вырезать буквы и картинки для стендов и коллажей",21,13,3,4,2
82,"газета","Вырезать буквы и составить письмо",21,13,5,4,2
83,"газета","Вырезать буквы, использовать для тайного письма",21,13,5,5,2
84,"газета","Вырезать буквы, чтобы писать зашифрованное письмо",21,13,5,5,2
85,"газета","Вырезать из неё аппликации",21,13,2,3,2
86,"газета","Вырезать из неё буквы и делать послание",21,13,5,4,2
87,"газета","Вырезать из неё слова для признания в любви (чтобы не разобрали почерк)",21,13,5,5,3
88,"газета","Вырезать из неё снежинку",21,13,3,2,2
89,"газета","Вырезать из неё украшения",21,13,3,3,2
90,"газета","Вырезать картинки для открыток ручной работы",21,13,4,4,3
91,"газета","Вырезать картинки и отправлять в СМСах как эмодзилку",21,13,4,4,4
92,"газета","Вырезать картинки, подписи - сделать коллажи",21,13,3,3,2
93,"газета","Вырезать слова/буквы, прислать анонимное письмо",21,13,5,5,2
94,"газета","Вырезать снежинки",21,13,3,2,2
95,"газета","Вырезать человечков и играть с ними",21,13,3,4,3
