ID,prompt,response,set,lab,response_cleaned,rater1,rater2
215,vork,maken ,4,3,,0,0
239,vork,drie,4,3,,0,0
282,vork,zeven,4,3,,4,3
415,vork,vier,4,3,,0,0
552,vork,drie,4,3,,0,0
607,vork,iets mee maken,4,3,,0,2
727,vork,drie,4,3,,0,0
727,vork,vier,4,3,,0,0
775,vork,maken,4,3,,0,1
733,vork,aaien ,4,3,aaien,3,4
762,vork,iemand aaien,4,3,aaien,3,4
654,vork,Gebruiken om de aandacht te krijgen door op een schoolbord mee te krassen,4,3,aandacht krijgen schoolbord krassen,3,4
314,vork,je kan om aandacht vragen door hem tegen je glas aan te tikken,4,3,aandacht vragen tegen glas tikken,3,3
244,vork,aandrukken,4,3,aandrukken,2,3
412,vork,aangeven,4,3,aangeven,2,1
628,vork,aanhangwagen,4,3,aanhangwagen,4,5
124,vork,het aanpakken van een object zonder het aan te raken met je handen,4,3,aanpakken object raken handen,2,2
409,vork,aanrecht,4,3,aanrecht,0,0
290,vork,aantikken als muziekinstrument,4,3,aantikken muziekinstrument,3,3
138,vork,iemand aanvallen,4,3,aanvallen,2,2
325,vork,gebruiken als aanwijsstok,4,3,aanwijsstok,3,3
487,vork,iets aanwijzen,4,3,aanwijzen,3,3
318,vork,Als aanwijzer gebruiken,4,3,aanwijzer,3,3
317,vork,aarde mee omspitten,4,3,aarde omspitten,3,4
777,vork,aarde omspitter,4,3,aarde omspitten,3,4
139,vork,aarde wroeten,4,3,aarde wroeten,3,4
492,vork,assecoire,4,3,accessoire,3,4
423,vork,assecoire voor als je verkleed gaat als neptunes,4,3,accessoire verkleed gaat Neptunes,4,4
504,vork,achterkant om iets mee uit te lepelen,4,3,achterkant lepelen,2,3
231,vork,De achterkant gebruiken als trommelstok,4,3,achterkant trommelstok,4,3
172,vork,de achterkant van een vork kan gebruikt worden om oorsmeer uit je oor te halen,4,3,achterkant vork gebruikt oorsmeer oor halen,4,4
421,vork,achternaam van exvriend,4,3,achternaam ex vriend,0,0
207,vork,om iets af te schieten,4,3,af schieten,3,3
382,vork,afbeeldingen maken door ermee te krassen,4,3,afbeeldingen krassen,3,3
433,vork,door afbreken er een poffertjes vork van maken,4,3,afbreken poffertjes vork,3,2
