"ID","prompt","response","set","lab","rater1","rater2","rater3","Fluency_Ceinture","Fluency_Brouette","Fluency_avrg","Orig_Ceinture","Orig_brouette","Orig_avrg","CSE","CPI","Openness","Age","Gender","native_french"
1,"brouette","Brouette électrique capable de rouler toute seule avec fonctionnalité guidage intégré, à utiliser dans son jardin seulement",11,6,1,4,5,4,2,3,3.91666666675,3.83333333333333,3.875000000041665,3.8333333333333335,2,4.8,19,"F","Oui"
1,"ceinture","Ceinture gonflable en cas de noyade",11,6,5,3,4,4,2,3,3.91666666675,3.83333333333333,3.875000000041665,3.8333333333333335,2,4.8,19,"F","Oui"
1,"brouette","Brouette blindée et camouflée pouvant également rouler seule en temps de guerre",11,6,4,4,5,4,2,3,3.91666666675,3.83333333333333,3.875000000041665,3.8333333333333335,2,4.8,19,"F","Oui"
1,"ceinture","Ceinture qui sert d'arme de combat comme lasso",11,6,1,4,2,4,2,3,3.91666666675,3.83333333333333,3.875000000041665,3.8333333333333335,2,4.8,19,"F","Oui"
1,"ceinture","Ceinture avec fonctionnalités technologiques tel que localisation dans l'espace, appel",11,6,4,5,5,4,2,3,3.91666666675,3.83333333333333,3.875000000041665,3.8333333333333335,2,4.8,19,"F","Oui"
1,"ceinture","Ceinture vibromassante si courbatures",11,6,5,4,5,4,2,3,3.91666666675,3.83333333333333,3.875000000041665,3.8333333333333335,2,4.8,19,"F","Oui"
2,"brouette","La brouette magique où l'on peut tout mettre dedans. Plus besoin de déménager, la brouette peut tout rétrécir même les cartons, les accessoires etc. La brouette est elle-même transportable au poids réel de la brouette (donc peu importe ce qu'on met, le poids ne change pas)",11,6,1,4,5,3,1,2,4.22222222233333,3.33333333333333,3.7777777778333297,4,4.4,4.9,19,"F","Oui"
2,"ceinture","Une ceinture avec des trous où l'on peut attacher des crochets pour coller contre le mur et servir de porte-manteau",11,6,3,4,5,3,1,2,4.22222222233333,3.33333333333333,3.7777777778333297,4,4.4,4.9,19,"F","Oui"
2,"ceinture","La ceinture élastique indestructible pour servir de lance-quelque chose (lancer tout et n'importe quoi)",11,6,3,4,5,3,1,2,4.22222222233333,3.33333333333333,3.7777777778333297,4,4.4,4.9,19,"F","Oui"
2,"ceinture","La ceinture qui s'adapte parfaitement à la taille et la forme du cours pour une silhouette incroyable",11,6,5,4,5,3,1,2,4.22222222233333,3.33333333333333,3.7777777778333297,4,4.4,4.9,19,"F","Oui"
3,"brouette","Retourner, utilisable comme un support élévateur",11,6,3,2,3,3,2,2.5,3.22222222233333,2.33333333333333,2.7777777778333297,5.666666666666667,4.8,5.4,21,"F","Oui"
3,"brouette","Remplie d'eau, piscine mobile pour petit",11,6,2,1,3,3,2,2.5,3.22222222233333,2.33333333333333,2.7777777778333297,5.666666666666667,4.8,5.4,21,"F","Oui"
3,"ceinture","Permet d'attacher des objets ; exemple : carton quand on n'a pas de scotch ou un rideau",11,6,2,3,2,3,2,2.5,3.22222222233333,2.33333333333333,2.7777777778333297,5.666666666666667,4.8,5.4,21,"F","Oui"
3,"ceinture","Accrocher les sacs de courses à travers les poignées, ils seront autour de la hanche donc bras reposés",11,6,3,2,3,3,2,2.5,3.22222222233333,2.33333333333333,2.7777777778333297,5.666666666666667,4.8,5.4,21,"F","Oui"
3,"ceinture","Nunchaku",11,6,5,5,4,3,2,2.5,3.22222222233333,2.33333333333333,2.7777777778333297,5.666666666666667,4.8,5.4,21,"F","Oui"
4,"brouette","Voiture",11,6,2,1,1,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"brouette","Décoration d'intérieur",11,6,1,2,1,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
