"ID","prompt","response","set","lab","order","rater1","rater2","rater3","age","sex","cse1","cse2","cse3","cse4","cse5","cse6","cse7","cse8","cse9","cse10","cse11"
1,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,4,4,5,5,5,4,4,5,4,4,3
1,"ladrillo","asientos",23,14,"2",2,2,2,19,0,4,4,5,5,5,4,4,5,4,4,3
1,"ladrillo","soporte o base",23,14,"3",2,1,1,19,0,4,4,5,5,5,4,4,5,4,4,3
2,"ladrillo","juegos o juguetes",23,14,"1",4,2,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,"ladrillo","herramienta",23,14,"2",3,2,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,"ladrillo","escaleras o escalones",23,14,"3",2,1,1,22,1,4,3,4,4,4,5,4,4,4,4,5
2,"ladrillo","fogatas",23,14,"4",3,1,1,22,1,4,3,4,4,4,5,4,4,4,4,5
2,"ladrillo","pintar o dibujar",23,14,"5",3,2,2,22,1,4,3,4,4,4,5,4,4,4,4,5
3,"ladrillo","construir inmuebles",23,14,"1",1,1,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,"ladrillo","escaleras o escalones",23,14,"2",2,2,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,"ladrillo","soporte o base",23,14,"3",2,1,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,"ladrillo","equilibrar o balancear",23,14,"4",3,2,2,22,0,4,4,4,4,3,4,5,4,3,4,4
4,"ladrillo","construir inmuebles",23,14,"1",1,1,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,"ladrillo","mesas",23,14,"2",2,2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,"ladrillo","juegos o juguetes",23,14,"3",4,2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,"ladrillo","delimitar superficies ",23,14,"4",3,2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,"ladrillo","soporte o base",23,14,"5",2,1,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,"ladrillo","equilibrar o balancear",23,14,"6",3,2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,"ladrillo","asientos",23,14,"7",2,2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
5,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,"ladrillo","asientos",23,14,"2",2,2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,"ladrillo","soporte o base",23,14,"3",2,1,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"4",3,2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,"ladrillo","pintar o dibujar",23,14,"5",3,2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,"ladrillo","pisa papeles",23,14,"6",4,2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
6,"ladrillo","construir inmuebles",23,14,"1",1,1,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","juegos o juguetes",23,14,"10",4,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","moldear o aplanar",23,14,"11",5,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","asientos",23,14,"2",2,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","esculturas",23,14,"3",5,2,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","tallar, grabar o rayar",23,14,"4",3,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","escribir",23,14,"5",3,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","pesas deporte",23,14,"6",4,3,3,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","pisos",23,14,"7",2,2,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","romper o destruir ",23,14,"8",4,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,"ladrillo","equilibrar o balancear",23,14,"9",3,2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
