"","research_id","respondent_id","response_id","object","original_response","cleaned_response","originality_rater01","originality_rater02","originality_rater03"
"1","CESvalid2019.fb2",100,860,"brick","Voor","",0,0,0
"2","CESvalid2019.fb2",100,863,"brick","Hun","",0,0,0
"3","CESvalid2019.fb2",111,893,"brick","Veel","",0,0,0
"4","CESvalid2019.bf1",89,1091,"brick","gebruiken als","",0,0,0
"5","CESvalid2019.bb1",4,4,"brick","Iets aandrukken","aandrukken",2,2,2
"6","CESvalid2019.bb2",4,279,"brick","Iets aandrukken","aandrukken",2,2,2
"7","CESvalid2019.bf1",116,1166,"brick","Aandrukken","aandrukken",2,2,2
"8","CESvalid2019.bf1",99,1145,"brick","Aanvallen","aanvallen",3,0,2
"9","CESvalid2019.bb2",31,393,"brick","als achtergrond","achtergrond",3,3,3
"10","CESvalid2019.bb2",71,490,"brick","Achtergrond foto","achtergrond foto",3,3,3
"11","CESvalid2019.fb2",69,765,"brick","Afbakening","afbakening",2,2,2
"12","CESvalid2019.fb2",45,677,"brick","afgrenzing maken","afgrenzing",2,2,2
"13","CESvalid2019.bb1",36,106,"brick","afrastering","afrastering",2,2,2
"14","CESvalid2019.fb2",47,690,"brick","Afscheiding","afscheiding",2,2,2
"15","CESvalid2019.bf1",2,940,"brick","afscheiding in boekenkast","afscheiding boekenkast",4,2,2
"16","CESvalid2019.bf1",37,987,"brick","Afscheiding maken op grond","afscheiding grond",2,2,2
"17","CESvalid2019.bb2",93,557,"brick","Afsta","afsta",0,0,0
"18","CESvalid2019.bb2",23,364,"brick","Als afzetting","afzetting",2,2,2
"19","CESvalid2019.fb2",20,642,"brick","Afzetting","afzetting",2,2,2
"20","CESvalid2019.bb2",18,325,"brick","Akker","akker",0,2,2
"21","CESvalid2019.bb1",18,44,"brick","Akkers","akkers",0,2,2
"22","CESvalid2019.bb2",93,548,"brick","Alweer die baksteen?","alweer baksteen",0,0,0
"23","CESvalid2019.fb2",53,720,"brick","anker","anker",3,3,3
"24","CESvalid2019.fb2",74,771,"brick","Ankeren","ankeren",3,3,3
"25","CESvalid2019.bf1",60,1028,"brick","Appartement","appartement",1,0,1
"26","CESvalid2019.fb2",20,646,"brick","Aquaduct","aquaduct",1,0,2
"27","CESvalid2019.bb2",42,435,"brick","Architect","architect",0,0,3
"28","CESvalid2019.bb2",42,434,"brick","Architectuur","architectuur",1,0,3
"29","CESvalid2019.bf1",76,1058,"brick","architectuur","architectuur",1,0,3
"30","CESvalid2019.bf1",96,1115,"brick","Asbakken","asbakken",3,0,3
"31","CESvalid2019.fb2",100,859,"brick","At","at",0,0,0
"32","CESvalid2019.fb2",83,802,"brick","Bak","bak",2,1,2
"33","CESvalid2019.bf1",98,1128,"brick","Bak","bak",2,1,2
"34","CESvalid2019.bb2",103,577,"brick","Bakplaat","bakplaat",3,4,3
"35","CESvalid2019.bb2",22,357,"brick","Bakstenen schilderen","bakstenen schilderen",3,3,3
"36","CESvalid2019.bb2",7,290,"brick","Bal","bal",3,4,3
"37","CESvalid2019.bb1",11,25,"brick","Gebruiken bij band verwisselen","band verwisselen",4,4,3
"38","CESvalid2019.bb2",75,499,"brick","Bank maken","bank",3,3,3
"39","CESvalid2019.fb2",95,835,"brick","een bar van maken","bar",2,1,3
"40","CESvalid2019.bb2",128,609,"brick","Bbq (zoals bij parken)","barbecue",2,1,2
"41","CESvalid2019.fb2",92,824,"brick","barbecue","barbecue",2,1,2
"42","CESvalid2019.bf1",46,1002,"brick","Barbecue","barbecue",2,1,2
"43","CESvalid2019.bb1",90,211,"brick","Barricade","barricade",2,2,2
"44","CESvalid2019.bb2",90,543,"brick","Barricade","barricade",2,2,2
"45","CESvalid2019.bb2",85,537,"brick","Bedreigen","bedreigen",2,2,2
"46","CESvalid2019.bb1",14,34,"brick","beeld maken","beeld",2,3,3
"47","CESvalid2019.bb2",14,318,"brick","beeld maken","beeld",2,3,3
"48","CESvalid2019.bb2",128,603,"brick","Beeld","beeld",2,3,3
"49","CESvalid2019.bb1",128,268,"brick","Beeld bouwen","beeld bouwen",2,3,3
"50","CESvalid2019.bb1",110,252,"brick","Beelden","beelden",2,3,3
"51","CESvalid2019.bb2",110,588,"brick","Beelden","beelden",2,3,3
"52","CESvalid2019.fb2",95,834,"brick","beeldhouw werk","beeldhouw werk",2,3,3
"53","CESvalid2019.bb1",7,11,"brick","Beeldhouwen","beeldhouwen",2,3,3
"54","CESvalid2019.bb1",84,196,"brick","Beeldhouwen","beeldhouwen",2,3,3
"55","CESvalid2019.bb1",85,205,"brick","Beeldhouwen","beeldhouwen",2,3,3
"56","CESvalid2019.bb2",7,288,"brick","Beeldhouwen","beeldhouwen",2,3,3
"57","CESvalid2019.bb2",84,518,"brick","Beeldhouwen","beeldhouwen",2,3,3
"58","CESvalid2019.bb2",85,534,"brick","Beeldhouwen","beeldhouwen",2,3,3
"59","CESvalid2019.fb2",83,809,"brick","Beeldhouwen","beeldhouwen",2,3,3
"60","CESvalid2019.bf1",86,1081,"brick","Beeldhouwen","beeldhouwen",2,3,3
"61","CESvalid2019.fb2",51,715,"brick","begraven","begraven",2,0,1
"62","CESvalid2019.fb2",111,891,"brick","Beroep","beroep",0,0,3
"63","CESvalid2019.bb1",7,7,"brick","Beschilderen","beschilderen",2,3,3
"64","CESvalid2019.bb2",80,510,"brick","Beschilderen","beschilderen",2,3,3
"65","CESvalid2019.fb2",20,643,"brick","Beschilderen","beschilderen",2,3,3
"66","CESvalid2019.fb2",34,664,"brick","beschilderen","beschilderen",2,3,3
"67","CESvalid2019.fb2",47,683,"brick","Beschilderen","beschilderen",2,3,3
"68","CESvalid2019.bf1",37,986,"brick","Beschilderen","beschilderen",2,3,3
"69","CESvalid2019.fb2",20,640,"brick","Beschutting","beschutting",2,2,2
"70","CESvalid2019.bb2",68,471,"brick","Bestek","bestek",1,5,4
"71","CESvalid2019.fb2",92,827,"brick","betegelen","betegelen",1,1,1
"72","CESvalid2019.bb2",42,436,"brick","Beton","beton",1,0,1
"73","CESvalid2019.bb2",80,512,"brick","Iemand mee bewusteloos slaan","bewusteloos slaan",2,1,2
"74","CESvalid2019.bb1",93,223,"brick","Bieropener","bieropener",4,4,3
"75","CESvalid2019.bf1",96,1116,"brick","Bloembakken","bloembakken",3,1,3
"76","CESvalid2019.bb2",120,602,"brick","bloemenhouder","bloemenhouder",3,1,3
"77","CESvalid2019.bb1",114,260,"brick","Bloempot","bloempot",3,1,3
"78","CESvalid2019.bb2",11,313,"brick","Bloempot van maken","bloempot",3,1,3
"79","CESvalid2019.bb1",110,246,"brick","Blok","blok",1,0,1
"80","CESvalid2019.bf1",98,1135,"brick","Blok","blok",1,0,1
"81","CESvalid2019.bb1",23,73,"brick","Als blokkade","blokkade",2,2,2
"82","CESvalid2019.fb2",59,731,"brick","Bob de bouwer","bob bouwer",0,0,3
"83","CESvalid2019.bb1",11,29,"brick","Boe","boe",0,0,0
"84","CESvalid2019.bb2",11,309,"brick","Boekenhouder","boekenhouder",4,3,2
"85","CESvalid2019.bb2",102,568,"brick","Boekenhouder","boekenhouder",4,3,2
"86","CESvalid2019.bb2",10,303,"brick","als boekenstandaard","boekenstandaard",4,3,2
"87","CESvalid2019.bb1",10,20,"brick","als boekensteun","boekensteun",4,3,2
"88","CESvalid2019.fb2",47,685,"brick","Boekensteun","boekensteun",4,3,2
"89","CESvalid2019.fb2",49,695,"brick","boekensteun","boekensteun",4,3,2
"90","CESvalid2019.bb1",102,238,"brick","Boekhouder","boekhouder",4,3,2
"91","CESvalid2019.fb2",38,674,"brick","als boksbal","boksbal",4,4,3
"92","CESvalid2019.bf1",54,1020,"brick","Boodschap/ kerstwens voor medestudenten","boodschap kerstwens medestudenten",2,0,4
"93","CESvalid2019.bb2",71,492,"brick","Boog maken","boog",1,0,2
"94","CESvalid2019.bf1",12,945,"brick","Boog","boog",1,0,2
"95","CESvalid2019.bb2",97,559,"brick","Boot","boot",1,0,3
"96","CESvalid2019.bb1",80,184,"brick","Als bord gebruiken","bord",3,4,3
"97","CESvalid2019.bb1",110,258,"brick","Bord","bord",3,4,3
"98","CESvalid2019.bb2",7,292,"brick","Bord","bord",3,4,3
"99","CESvalid2019.bb2",25,374,"brick","Een bord voor een hipster restaurant","bord hipster restaurant",5,4,3
"100","CESvalid2019.bb2",68,479,"brick","Borstel","borstel",1,5,3
"101","CESvalid2019.fb2",59,733,"brick","Boterhammen","boterhammen",1,0,4
"102","CESvalid2019.fb2",108,877,"brick","Bouw","bouw",1,1,1
"103","CESvalid2019.bb1",4,1,"brick","Iets bouwen","bouwen",1,1,1
"104","CESvalid2019.bb1",7,6,"brick","Bouwen","bouwen",1,1,1
"105","CESvalid2019.bb1",10,15,"brick","bouwen","bouwen",1,1,1
"106","CESvalid2019.bb1",22,58,"brick","Bouwen","bouwen",1,1,1
"107","CESvalid2019.bb1",31,88,"brick","Bouwen","bouwen",1,1,1
"108","CESvalid2019.bb1",36,103,"brick","bouwen","bouwen",1,1,1
"109","CESvalid2019.bb1",55,133,"brick","Bouwen","bouwen",1,1,1
"110","CESvalid2019.bb1",58,136,"brick","Bouwen","bouwen",1,1,1
"111","CESvalid2019.bb1",61,149,"brick","Bouwen","bouwen",1,1,1
"112","CESvalid2019.bb1",80,180,"brick","Bouwen","bouwen",1,1,1
"113","CESvalid2019.bb1",85,207,"brick","Bouwen","bouwen",1,1,1
"114","CESvalid2019.bb2",4,276,"brick","Iets bouwen","bouwen",1,1,1
"115","CESvalid2019.bb2",28,385,"brick","zelf bouwen","bouwen",1,1,1
"116","CESvalid2019.bb2",31,387,"brick","Bouwen","bouwen",1,1,1
"117","CESvalid2019.bb2",36,406,"brick","bouwen","bouwen",1,1,1
"118","CESvalid2019.bb2",55,448,"brick","Bouwen","bouwen",1,1,1
"119","CESvalid2019.bb2",61,463,"brick","Iets bouwen","bouwen",1,1,1
"120","CESvalid2019.bb2",80,501,"brick","Bouwen","bouwen",1,1,1
"121","CESvalid2019.bb2",84,516,"brick","Bouwen","bouwen",1,1,1
"122","CESvalid2019.bb2",85,526,"brick","Bouwen","bouwen",1,1,1
"123","CESvalid2019.bb2",102,569,"brick","Bouwen","bouwen",1,1,1
"124","CESvalid2019.fb2",29,654,"brick","bouwen","bouwen",1,1,1
"125","CESvalid2019.fb2",49,691,"brick","bouwen","bouwen",1,1,1
"126","CESvalid2019.fb2",65,744,"brick","Bouwen","bouwen",1,1,1
"127","CESvalid2019.fb2",74,769,"brick","Bouwen","bouwen",1,1,1
"128","CESvalid2019.fb2",78,779,"brick","bouwen","bouwen",1,1,1
"129","CESvalid2019.fb2",81,797,"brick","er iets mee bouwen","bouwen",1,1,1
"130","CESvalid2019.fb2",92,812,"brick","bouwen","bouwen",1,1,1
"131","CESvalid2019.fb2",106,871,"brick","bouwen","bouwen",1,1,1
"132","CESvalid2019.fb2",108,876,"brick","Bouwen","bouwen",1,1,1
"133","CESvalid2019.fb2",111,885,"brick","Bouwen","bouwen",1,1,1
"134","CESvalid2019.fb2",115,894,"brick","Bouwen","bouwen",1,1,1
"135","CESvalid2019.fb2",118,902,"brick","Bouwen","bouwen",1,1,1
"136","CESvalid2019.fb2",124,922,"brick","Bouwen","bouwen",1,1,1
"137","CESvalid2019.fb2",125,926,"brick","Bouwen","bouwen",1,1,1
"138","CESvalid2019.bf1",33,976,"brick","bouwen","bouwen",1,1,1
"139","CESvalid2019.bf1",39,989,"brick","Bouwen","bouwen",1,1,1
"140","CESvalid2019.bf1",50,1011,"brick","bouwen","bouwen",1,1,1
"141","CESvalid2019.bf1",94,1101,"brick","Bouwen","bouwen",1,1,1
"142","CESvalid2019.bf1",99,1144,"brick","Bouwen","bouwen",1,1,1
"143","CESvalid2019.bf1",107,1147,"brick","Bouwen","bouwen",1,1,1
"144","CESvalid2019.bf1",116,1159,"brick","Bouwen","bouwen",1,1,1
"145","CESvalid2019.bf1",119,1170,"brick","bouwen","bouwen",1,1,1
"146","CESvalid2019.bf1",122,1184,"brick","Bouwen","bouwen",1,1,1
"147","CESvalid2019.bf1",77,1077,"brick","iets bouwen om met kinderen mee te spelen","bouwen kinderen spelen",1,1,2
"148","CESvalid2019.bb2",114,590,"brick","Bouwmiddel","bouwmiddel",1,1,1
"149","CESvalid2019.bb1",28,82,"brick","bouwpakket","bouwpakket",1,1,2
"150","CESvalid2019.bb2",36,411,"brick","bouwsels","bouwsels",1,1,1
"151","CESvalid2019.bb2",7,287,"brick","Bouwsteen","bouwsteen",1,1,1
"152","CESvalid2019.bb1",18,45,"brick","Bouwvakker","bouwvakker",1,0,0
"153","CESvalid2019.bb2",18,326,"brick","Bouwvakker","bouwvakker",1,0,0
"154","CESvalid2019.bb2",42,430,"brick","Bouwvakker","bouwvakker",1,0,0
"155","CESvalid2019.fb2",59,726,"brick","Bouwvakker","bouwvakker",1,0,0
"156","CESvalid2019.fb2",111,886,"brick","Bouwvakker","bouwvakker",1,0,0
"157","CESvalid2019.bb1",31,99,"brick","Bouwvakkers","bouwvakkers",1,0,0
"158","CESvalid2019.bb2",31,400,"brick","bouwvakkers","bouwvakkers",1,0,0
"159","CESvalid2019.bf1",98,1132,"brick","Bouwvakkers","bouwvakkers",1,0,0
"160","CESvalid2019.bb2",18,338,"brick","Breken","breken",1,1,1
"161","CESvalid2019.fb2",92,826,"brick","breken","breken",1,1,1
"162","CESvalid2019.fb2",124,919,"brick","Breken","breken",1,1,1
"163","CESvalid2019.bf1",30,972,"brick","breken","breken",1,1,1
"164","CESvalid2019.bb1",103,245,"brick","Breken om te overleven (soort mes maken)","breken overleven",3,3,3
"165","CESvalid2019.bb2",22,349,"brick","Een brug van maken","brug",1,1,2
"166","CESvalid2019.bb2",128,604,"brick","Brug","brug",1,1,2
"167","CESvalid2019.bf1",12,947,"brick","Brug","brug",1,1,2
"168","CESvalid2019.bb1",110,248,"brick","Bruin","bruin",0,0,0
"169","CESvalid2019.fb2",59,724,"brick","Bruin","bruin",0,0,0
"170","CESvalid2019.fb2",118,908,"brick","Bruin","bruin",0,0,0
"171","CESvalid2019.bf1",73,1055,"brick","bruin","bruin",0,0,0
"172","CESvalid2019.bf1",94,1106,"brick","Bruin","bruin",0,0,0
"173","CESvalid2019.bb2",68,475,"brick","Buigen","buigen",1,0,2
"174","CESvalid2019.bb2",103,578,"brick","Buitenbbq maken","buiten barbecue",2,1,2
"175","CESvalid2019.fb2",132,938,"brick","Buiten kinderen houden","buiten kinderen houden",2,0,2
"176","CESvalid2019.bf1",86,1083,"brick","Bureau","bureau",3,1,3
"177","CESvalid2019.bf1",123,1199,"brick","cadeau","cadeau",2,2,3
"178","CESvalid2019.fb2",65,757,"brick","cafe baksteen","café baksteen",1,1,NA
"179","CESvalid2019.bb1",22,62,"brick","Cement","cement",1,0,1
"180","CESvalid2019.bb1",31,97,"brick","Cement","cement",1,0,1
"181","CESvalid2019.fb2",108,880,"brick","Cement","cement",1,0,1
"182","CESvalid2019.fb2",111,888,"brick","Cement","cement",1,0,1
"183","CESvalid2019.fb2",118,904,"brick","Cement","cement",1,0,1
"184","CESvalid2019.bf1",73,1048,"brick","cement","cement",1,0,1
"185","CESvalid2019.bf1",76,1061,"brick","cement","cement",1,0,1
"186","CESvalid2019.bf1",94,1100,"brick","Sement","cement",1,0,1
"187","CESvalid2019.bb2",28,377,"brick","cement bouwpakket","cement bouwpakket",1,0,2
"188","CESvalid2019.bb1",28,83,"brick","cementen voetbal","cementen voetbal",3,0,3
"189","CESvalid2019.fb2",95,831,"brick","collab met supr<e8>me en verkopen","collab supreme verkopen",2,0,3
"190","CESvalid2019.bf1",76,1062,"brick","in combinatie met beton","combinatie beton",0,0,1
"191","CESvalid2019.bf1",76,1065,"brick","in combinatie met hout","combinatie hout",0,0,1
"192","CESvalid2019.bb1",18,43,"brick","Constructie","constructie",1,1,1
"193","CESvalid2019.bb2",36,407,"brick","constructie","constructie",1,1,1
"194","CESvalid2019.bb1",44,127,"brick","Contragewicht","contragewicht",2,2,2
"195","CESvalid2019.bb2",40,421,"brick","Contragewicht","contragewicht",2,2,2
"196","CESvalid2019.bb2",44,441,"brick","Contragewicht","contragewicht",2,2,2
"197","CESvalid2019.bf1",39,991,"brick","Contragewicht","contragewicht",2,2,2
"198","CESvalid2019.fb2",65,745,"brick","Cree<eb>ren","creeëren",1,0,NA
"199","CESvalid2019.fb2",100,861,"brick","De d","d",0,0,0
"200","CESvalid2019.bb1",90,216,"brick","Dak","dak",1,1,2
"201","CESvalid2019.fb2",45,680,"brick","op dakpan leggen","dakpan leggen",1,1,2
"202","CESvalid2019.bf1",12,952,"brick","Dam","dam",1,3,2
"203","CESvalid2019.bb1",25,77,"brick","Decoratie","decoratie",2,3,3
"204","CESvalid2019.bb1",68,161,"brick","Decoratie","decoratie",2,3,3
"205","CESvalid2019.bb1",90,210,"brick","Decoratie","decoratie",2,3,3
"206","CESvalid2019.bb2",25,373,"brick","Als decoratie gebruiken","decoratie",2,3,3
"207","CESvalid2019.bb2",68,476,"brick","Decoratie","decoratie",2,3,NA
"208","CESvalid2019.bb2",114,593,"brick","Decoratie","decoratie",2,3,3
"209","CESvalid2019.bf1",46,1001,"brick","Decoratie","decoratie",2,3,3
"210","CESvalid2019.bf1",67,1041,"brick","Decoratie","decoratie",2,3,3
"211","CESvalid2019.bf1",54,1024,"brick","Deeltjes in potten","deeltjes potten",3,3,2
"212","CESvalid2019.bb2",7,294,"brick","Deksel","deksel",3,2,2
"213","CESvalid2019.bb1",18,49,"brick","Deur","deur",1,0,2
"214","CESvalid2019.bb2",90,547,"brick","Deur","deur",1,0,2
"215","CESvalid2019.fb2",100,862,"brick","Deur","deur",1,0,2
"216","CESvalid2019.bb2",84,524,"brick","Deur open houden","deur open houden",2,2,2
"217","CESvalid2019.bb2",23,368,"brick","Als deur open houder","deur open houder",2,2,2
"218","CESvalid2019.bb1",84,195,"brick","En deur openhouden","deur openhouden",2,2,2
"219","CESvalid2019.bb2",93,556,"brick","Deur openhouden","deur openhouden",2,2,2
"220","CESvalid2019.bb1",40,115,"brick","Deur tegen te houden","deur tegen houden",2,2,2
"221","CESvalid2019.bb2",40,418,"brick","Deur tegen houden","deur tegen houden",2,2,2
"222","CESvalid2019.bb2",80,509,"brick","Deur mee tegen houden","deur tegen houden",2,2,2
"223","CESvalid2019.fb2",51,707,"brick","deur tegenhouden","deur tegenhouden",2,2,2
"224","CESvalid2019.fb2",132,930,"brick","Deur vasthouden","deur vasthouden",2,2,2
"225","CESvalid2019.bb2",102,563,"brick","Deurklem","deurklem",2,2,2
"226","CESvalid2019.bb1",25,79,"brick","Deurstopper","deurstopper",2,2,2
"227","CESvalid2019.bb1",44,126,"brick","Deurstop","deurstopper",2,2,2
"228","CESvalid2019.bb1",102,237,"brick","Deurstop","deurstopper",2,2,2
"229","CESvalid2019.bb2",10,305,"brick","deurstop","deurstopper",2,2,2
"230","CESvalid2019.bb2",11,308,"brick","Deurstopper","deurstopper",2,2,2
"231","CESvalid2019.bb2",28,383,"brick","deurstopper","deurstopper",2,2,2
"232","CESvalid2019.bb2",44,440,"brick","Deurstop","deurstopper",2,2,2
"233","CESvalid2019.fb2",47,686,"brick","Deurstopper","deurstopper",2,2,2
"234","CESvalid2019.fb2",115,897,"brick","Deurstop","deurstopper",2,2,2
"235","CESvalid2019.bb1",80,192,"brick","Din","din",0,0,0
"236","CESvalid2019.bf1",30,974,"brick","dingen mee fijn malen","dingen fijn malen",2,2,3
"237","CESvalid2019.bf1",30,975,"brick","dingen mee kapot maken","dingen kapot",1,2,2
"238","CESvalid2019.bb2",58,459,"brick","Gebruiken om dingen mee te laten zinken","dingen laten zinken",2,2,2
"239","CESvalid2019.bb1",55,130,"brick","Dingen slopen","dingen slopen",1,2,2
"240","CESvalid2019.fb2",115,895,"brick","Dingen tegenhouden","dingen tegenhouden",2,2,2
"241","CESvalid2019.fb2",100,841,"brick","Doekoe","doekoe",0,0,3
"242","CESvalid2019.bb2",10,301,"brick","als doel gebruiken","doel",3,2,3
"243","CESvalid2019.bf1",96,1120,"brick","De dom toren","dom toren",1,0,2
"244","CESvalid2019.fb2",49,696,"brick","domino","domino",4,3,3
"245","CESvalid2019.fb2",64,741,"brick","Domino","domino",4,3,3
"246","CESvalid2019.bf1",50,1013,"brick","domino","domino",4,3,3
"247","CESvalid2019.bb1",58,139,"brick","Gebruiken voor domino<U+0092>s","domino s",4,3,3
"248","CESvalid2019.fb2",34,666,"brick","domino spel","domino spel",4,3,3
"249","CESvalid2019.bf1",77,1073,"brick","donkere kleuren","donkere kleuren",0,0,3
"250","CESvalid2019.fb2",100,844,"brick","Donnie","donnie",0,0,0
"251","CESvalid2019.fb2",100,845,"brick","Twee donnie","donnie",0,0,0
"252","CESvalid2019.fb2",100,846,"brick","Drie donniee","donniee",0,0,0
"253","CESvalid2019.fb2",92,815,"brick","doodslag","doodslag",2,1,2
"254","CESvalid2019.bb2",31,391,"brick","Doorbreken","doorbreken",1,1,1
"255","CESvalid2019.fb2",51,710,"brick","doormidden zagen","doormidden zagen",1,0,1
"256","CESvalid2019.fb2",69,760,"brick","Dreigement","dreigement",2,0,2
"257","CESvalid2019.bb2",84,520,"brick","Dreigen te gooien met baksteen","dreigen gooien baksteen",2,1,2
"258","CESvalid2019.bf1",122,1192,"brick","Duurzaam","duurzaam",0,0,0
"259","CESvalid2019.fb2",100,853,"brick","Eikel","eikel",0,0,0
"260","CESvalid2019.bf1",77,1075,"brick","op elkaar stapelen","elkaar stapelen",2,1,1
"261","CESvalid2019.fb2",51,712,"brick","ergens aan bevestigen","ergens bevestigen",2,1,2
"262","CESvalid2019.fb2",81,796,"brick","ernaar kijken","ernaar kijken",1,1,2
"263","CESvalid2019.bf1",67,1040,"brick","Erop staan","erop staan",2,1,2
"264","CESvalid2019.bb1",58,145,"brick","Erop tekenen en een mini stad maken","erop tekenen mini stad",4,3,3
"265","CESvalid2019.bf1",91,1097,"brick","Je kan erop zitten","erop zitten",2,1,2
"266","CESvalid2019.bf1",123,1203,"brick","etaleren","etaleren",2,0,3
"267","CESvalid2019.bb2",68,472,"brick","Eten","eten",1,5,4
"268","CESvalid2019.bb2",80,504,"brick","Van eten","eten",3,5,4
"269","CESvalid2019.bb2",97,558,"brick","Eten","eten",1,5,4
"270","CESvalid2019.bb2",68,480,"brick","Eten stampen","eten stampen",3,3,3
"271","CESvalid2019.bb1",22,61,"brick","Fabrieken","fabrieken",0,0,2
"272","CESvalid2019.bb1",90,218,"brick","Fiets","fiets",1,0,3
"273","CESvalid2019.bf1",12,948,"brick","Fietspad","fietspad",1,1,2
"274","CESvalid2019.fb2",121,914,"brick","Figuren bouwen","figuren bouwen",1,1,3
"275","CESvalid2019.fb2",49,701,"brick","fijnmalen","fijnmalen",2,3,1
"276","CESvalid2019.bb1",22,69,"brick","Filtreren van vervuild bv","filtreren vervuild bv",4,0,2
