"","research_id","respondent_id","response_id","object","original_response","cleaned_response","originality_rater01","originality_rater02"
"1","CES201712",1151,17067,"brick","aankleden","aankleden",4,4
"2","CES201712",1143,16949,"brick","aanrecht","aanrecht",2,2
"3","CES201712",1161,17155,"brick","aanrecht","aanrecht",2,2
"4","CES201712",1148,17111,"brick","af afbakening","af afbakening",2,2
"5","CES201712",1185,17287,"brick","als afbakening van een tuin","afbakening tuin",2,2
"6","CES201712",1134,17046,"brick","afbreken","afbreken",2,2
"7","CES201712",1238,18460,"brick","als afgodbeeld gebruiken","afgodbeeld",3,4
"8","CES201712",1191,17405,"brick","iets anders stuk maken","anders stuk",2,2
"9","CES201712",1140,16992,"brick","als anker gebruiken","anker",4,3
"10","CES201712",1148,17112,"brick","als anker","anker",4,3
"11","CES201712",1190,17384,"brick","anker","anker",4,3
"12","CES201712",1139,16938,"brick","als anker voor een boot gebruiken","anker boot",4,3
"13","CES201712",1225,17620,"brick","appartement","appartement",1,1
"14","CES201712",1159,17137,"brick","aquaduct romeinse stijl","aquaduct Romeinse stijl",3,2
"15","CES201712",1157,17143,"brick","asbak","asbak",3,3
"16","CES201712",1219,17586,"brick","auto","auto",4,4
"17","CES201712",1182,17381,"brick","Auto zonder banden omhoog houden","auto banden omhoog houden",3,5
"18","CES201712",1141,16958,"brick","bak","bak",2,2
"19","CES201712",1142,17010,"brick","bak","bak",2,2
"20","CES201712",1177,17244,"brick","bakken","bakken",3,2
"21","CES201712",1225,17609,"brick","bakken","bakken",3,2
"22","CES201712",1225,17610,"brick","bakker","bakker",0,0
"23","CES201712",1225,17614,"brick","bakker","bakker",0,0
"24","CES201712",1241,18480,"brick","baksteen","baksteen",1,1
"25","CES201712",1214,17603,"brick","baksteen keukenbald","baksteen keukenblad",2,2
"26","CES201712",1159,17135,"brick","baksteen koppen uit schaamte","baksteen koppen schaamte",5,5
"27","CES201712",1214,17598,"brick","baksteen muur","baksteen muur",1,1
"28","CES201712",1214,17604,"brick","baksteen openhaard","baksteen open haard",1,1
"29","CES201712",1159,17139,"brick","baksteenovenpizza","baksteen ovenpizza",3,1
"30","CES201712",1214,17600,"brick","basteen tafel","baksteen tafel",4,3
"31","CES201712",1214,17601,"brick","baksteen trap","baksteen trap",1,1
"32","CES201712",1207,17524,"brick","iets aan een baksteen vastmk\aken en in het water gooien","baksteen vastmaken water gooien",2,3
"33","CES201712",1214,17599,"brick","baksteen wastafel","baksteen wastafel",3,2
"34","CES201712",1214,17602,"brick","baksteen wc hok","baksteen wc hok",1,1
"35","CES201712",1187,17322,"brick","bakstenen op elkaar zetten en een tafel van maken","bakstenen elkaar zetten tafel",4,3
"36","CES201712",1196,17355,"brick","bakstenenmuur","bakstenen muur",1,1
"37","CES201712",1222,17562,"brick","bakstenen verven","bakstenen verven",4,3
"38","CES201712",1201,17471,"brick","als bal gebruiken","bal",3,3
"39","CES201712",1219,17588,"brick","bal","bal",3,3
"40","CES201712",1231,17686,"brick","balanceren op je hoofd","balanceren hoofd",4,3
"41","CES201712",1161,17153,"brick","bank","bank",3,3
"42","CES201712",1219,17579,"brick","bank","bank",3,3
"43","CES201712",1231,17682,"brick","barbecue op zetten","barbecue zetten",3,2
"44","CES201712",1143,16943,"brick","bed","bed",4,3
"45","CES201712",1231,17689,"brick","een bed maken","bed",4,3
"46","CES201712",1183,17310,"brick","iemand mee bedreigen","bedreigen",2,2
"47","CES201712",1208,17489,"brick","beek afzetten","beek afzetten",2,3
"48","CES201712",1219,17587,"brick","beeld","beeld",3,3
"49","CES201712",1223,17544,"brick","beeld","beeld",3,3
"50","CES201712",1171,17255,"brick","beeld bouwen","beeld bouwen",3,3
"51","CES201712",1128,16877,"brick","beeldhouwen","beeldhouwen",3,3
"52","CES201712",1171,17254,"brick","beeldhouwen","beeldhouwen",3,3
"53","CES201712",1204,17396,"brick","beeldhouwen","beeldhouwen",3,3
"54","CES201712",1151,17063,"brick","een beeldje  van maken ","beeldje",3,3
"55","CES201712",1145,16974,"brick","begraven","begraven",3,3
"56","CES201712",1162,17123,"brick","behang","behang",3,4
"57","CES201712",1145,16988,"brick","behang van de muur verwijderen","behang muur verwijderen",5,4
"58","CES201712",1145,16971,"brick","bekijken","bekijken",3,2
"59","CES201712",1169,17227,"brick","bericht in wikkelen en door ruit gooien","bericht wikkelen ruit gooien",2,5
"60","CES201712",1225,17630,"brick","beschermend","beschermend",3,3
"61","CES201712",1166,17191,"brick","beschilderen","beschilderen",4,3
"62","CES201712",1224,17571.3,"brick"," beschilderen","beschilderen",4,3
"63","CES201712",1145,16986,"brick","beschilderen en als kunst verkopen","beschilderen kunst verkopen",4,3
"64","CES201712",1177,17247,"brick","bestrating","bestrating",1,1
"65","CES201712",1165,17258,"brick","bestuderen","bestuderen",3,3
"66","CES201712",1228,17664,"brick","betaalmiddel","betaalmiddel",5,4
"67","CES201712",1187,17318.3,"brick"," bibliotheel","bibliotheek",1,1
"68","CES201712",1136,16922,"brick","biertje openen","biertje openen",4,2
"69","CES201712",1135,17169,"brick","een bloembak opzetten","bloembak opzetten",2,2
"70","CES201712",1168,17171,"brick","bloemen in zetten","bloemen zetten",3,2
"71","CES201712",1177,17246,"brick","blok","blok",2,2
"72","CES201712",1192,17373,"brick","blokeren","blokkeren",2,2
"73","CES201712",1186,17270,"brick","boekenhouder","boekenhouder",4,3
"74","CES201712",1203,17411,"brick","boekenhouder","boekenhouder",4,3
"75","CES201712",1138,16969,"brick","Boekenhouder voor in de boekenkast","boekenhouder boekenkast",4,3
"76","CES201712",1145,16975,"brick","als boekenlegger","boekenlegger",5,4
"77","CES201712",1147,17025,"brick","boeknlegger","boekenlegger",5,4
"78","CES201712",1223,17548,"brick"," boekenplank","boekenplank",5,4
"79","CES201712",1184,17341,"brick","boekenstandaard","boekenstandaard",4,3
"80","CES201712",1131,16898,"brick","boekensteun","boekensteun",4,3
"81","CES201712",1175,17343,"brick","boekensteun","boekensteun",4,3
"82","CES201712",1235,18429,"brick","boekensteun","boekensteun",4,3
"83","CES201712",1239,18463,"brick","boekensteun","boekensteun",4,3
"84","CES201712",1148,17114,"brick","om boot recht te leggen","boot recht leggen",3,3
"85","CES201712",1195,17443,"brick","boot verzwaren","boot verzwaren",2,2
"86","CES201712",1141,16973,"brick","bord","bord",4,3
"87","CES201712",1156,17088,"brick","bord","bord",4,3
"88","CES201712",1158,17199,"brick","als bord gebruiken","bord",4,3
"89","CES201712",1161,17158,"brick","bord","bord",4,3
"90","CES201712",1134,17032,"brick","bouwen","bouwen",1,1
"91","CES201712",1135,17162,"brick","bouwen","bouwen",1,1
"92","CES201712",1137,16923,"brick","bouwen","bouwen",1,1
"93","CES201712",1142,17001,"brick","bouwen","bouwen",1,1
"94","CES201712",1145,16959,"brick","bouwen","bouwen",1,1
"95","CES201712",1149,17054,"brick","bouwen","bouwen",1,1
"96","CES201712",1155,17070,"brick","bouwen","bouwen",1,1
"97","CES201712",1163,17205,"brick","Bouwen","bouwen",1,1
"98","CES201712",1174,17288,"brick","bouwen","bouwen",1,1
"99","CES201712",1177,17243,"brick","bouwen","bouwen",1,1
"100","CES201712",1179,17273,"brick","bouwen","bouwen",1,1
"101","CES201712",1180,17324,"brick","bouwen","bouwen",1,1
"102","CES201712",1181,17309,"brick","bouwen","bouwen",1,1
"103","CES201712",1189,17296,"brick","bouwen","bouwen",1,1
"104","CES201712",1191,17398,"brick","Bouwen","bouwen",1,1
"105","CES201712",1192,17363,"brick","bouwen","bouwen",1,1
"106","CES201712",1193,17350.1,"brick","je kan er van alles mee bouwen","bouwen",1,1
"107","CES201712",1195,17441,"brick","bouwen","bouwen",1,1
"108","CES201712",1200,17417,"brick","bouwen","bouwen",1,1
"109","CES201712",1201,17463,"brick","bouwen","bouwen",1,1
"110","CES201712",1204,17391,"brick","bouwen","bouwen",1,1
"111","CES201712",1206,17567,"brick","bouwen","bouwen",1,1
"112","CES201712",1228,17657,"brick","bouwen","bouwen",1,1
"113","CES201712",1232,17830,"brick","bouwen","bouwen",1,1
"114","CES201712",1233,18418,"brick","bouwen","bouwen",1,1
"115","CES201712",1234,18422,"brick","Bouwen","bouwen",1,1
"116","CES201712",1143,16940,"brick","Bouwmateriaal","bouwmateriaal",1,1
"117","CES201712",1147,17027,"brick","bouwmateriaal","bouwmateriaal",1,1
"118","CES201712",1199,17422,"brick","Bouwsteen","bouwsteen",1,1
"119","CES201712",1148,17094,"brick","bouwvakker","bouwvakker",0,0
"120","CES201712",1177,17250,"brick","bouwvakkers","bouwvakkers",0,0
"121","CES201712",1196,17353,"brick","bouwvakkers","bouwvakkers",0,0
"122","CES201712",1146,16997,"brick","bowlen","bowlen",5,4
"123","CES201712",1180,17332,"brick","breken","breken",2,2
"124","CES201712",1183,17306,"brick","breken","breken",2,2
"125","CES201712",1192,17367,"brick","breken","breken",2,2
"126","CES201712",1195,17444,"brick","iets breken","breken",2,2
"127","CES201712",1216,17530,"brick","breken","breken",2,2
"128","CES201712",1225,17615,"brick","broodjes","broodjes",4,4
"129","CES201712",1202,17377,"brick","brug","brug",1,1
"130","CES201712",1219,17591,"brick","brug","brug",1,1
"131","CES201712",1211,17525.4,"brick"," buitenoven van maken","buitenoven",3,2
"132","CES201712",1203,17414,"brick","cadeau","cadeau",3,3
"133","CES201712",1221,17597,"brick","cadeau doen","cadeau",3,3
"134","CES201712",1238,18459,"brick","cadeau doen","cadeau",3,3
"135","CES201712",1177,17242,"brick","cement","cement",1,1
"136","CES201712",1196,17354,"brick","sement","cement",1,1
"137","CES201712",1213,17556,"brick","cement ","cement",1,1
"138","CES201712",1217,17452,"brick","cement","cement",1,1
"139","CES201712",1225,17632,"brick","cement","cement",1,1
"140","CES201712",1148,17113,"brick","contra gewicht","contra gewicht",2,2
"141","CES201712",1138,16976,"brick","Contragewicht","contragewicht",2,2
"142","CES201712",1145,16987,"brick","gebruiken als contragewicht","contragewicht",2,2
"143","CES201712",1147,17029,"brick","contragewicht","contragewicht",2,2
"144","CES201712",1217,17458,"brick","3D","d",0,0
"145","CES201712",1141,16970,"brick","dak","dak",2,2
"146","CES201712",1177,17240,"brick","dak","dak",2,2
