id,item,response,rater1,rater2,rater3,average
1,box,break dancing mat,3,1,2,2
1,box,chair for a broke college student,2,2,1,1.666666667
1,box,earrings,2,1,2,1.666666667
1,box,high fashion runway outfit,4,4,2,3.333333333
1,box,home for a broke college student,2,2,1,1.666666667
1,box,logo for a based company,2,2,3,2.333333333
1,box,modern art piece,2,2,1,1.666666667
1,box,object head,2,1,1,1.333333333
1,box,sex toy,1,2,3,2
1,box,table for a broke college student,2,2,1,1.666666667
2,box,can put keys in the,1,1,2,1.333333333
2,box,drugs,1,1,1,1
2,box,games,2,1,2,1.666666667
2,box,hide into,2,1,2,1.666666667
2,box,put money into,1,1,1,1
2,box,put papers into,1,1,1,1
2,box,snacks,1,1,2,1.333333333
2,box,stash condoms,2,2,1,1.666666667
2,box,stash of cigarillos,2,2,1,1.666666667
2,box,toys,2,2,1,1.666666667
3,box,to build a fort,2,1,2,1.666666667
3,box,to collect eggs out on the ole Danish farm,1,4,4,3
3,box,to collect used shoelaces,1,3,1,1.666666667
3,box,to cut up and make Christmas ornaments out of,2,4,2,2.666666667
3,box,to keep your embarrassing life memories in,2,3,2,2.333333333
3,box,to see what it's like to live in a/ be homeless,2,2,2,2
3,box,to use as a toilet when needed,2,2,2,2
3,box,to use to stand on to reach things that are hard to reach for vertically challenged people,2,3,1,2
5,box,bed for an animal,2,1,2,1.666666667
5,box,fort for a child,2,1,2,1.666666667
5,box,sled for children to push each other in,2,1,1,1.333333333
6,box,make shift home,2,1,1,1.333333333
6,box,make smaller from it,3,2,2,2.333333333
6,box,turn it in to a basketball goal,2,2,2,2
6,box,use a hockey goal,3,2,2,2.333333333
6,box,use a trashcan,2,2,1,1.666666667
6,box,use as a hat,2,1,1,1.333333333
6,box,wear it as a sign,2,2,1,1.666666667
7,box,hide and go seek,2,2,2,2
7,box,restaurant,1,1,1,1
7,box,your little apartment,2,2,3,2.333333333
7,box,your own room,2,2,2,2
8,box,find a wet  slick hill and slide down,2,1,1,1.333333333
8,box,put a pillow in the and toss it around,2,1,2,1.666666667
8,box,use the as a car and have fun,2,1,2,1.666666667
9,box,Art supplies,1,1,1,1
9,box,boat,2,1,2,1.666666667
9,box,carry baby rabbits,2,1,1,1.333333333
9,box,cover a spider from moving,2,2,2,2
9,box,doll house,2,1,2,1.666666667
9,box,Hold books,1,1,1,1
9,box,hold hair products,1,1,1,1
9,box,live in,2,1,1,1.333333333
9,box,paperwork,1,1,1,1
9,box,rocket,2,2,2,2
10,box,chair,2,1,1,1.333333333
10,box,friend,2,1,2,1.666666667
10,box,glove,2,2,2,2
10,box,hat,2,1,1,1.333333333
10,box,house,2,1,1,1.333333333
10,box,laundry basket,3,2,1,2
10,box,roof,3,2,1,2
10,box,shoe,2,1,1,1.333333333
11,box,as a form of clothing,2,1,1,1.333333333
11,box,Making a jewelry out of it,1,2,1,1.333333333
11,box,Using it as a hat,2,1,1,1.333333333
11,box,Using it as a lamp shade,4,4,2,3.333333333
11,box,Using it as a picnic table,2,2,1,1.666666667
12,box,bookshelf,2,1,2,1.666666667
12,box,clubhouse,2,1,2,1.666666667
12,box,dinner stand,2,1,1,1.333333333
12,box,drum,2,2,2,2
12,box,flattened for a dog bed,3,1,2,2
12,box,helmet,3,2,2,2.333333333
12,box,imaginary computer for children,3,2,2,2.333333333
12,box,kids table,3,1,1,1.666666667
12,box,nail polish display case,2,2,1,1.666666667
12,box,organizer,1,1,1,1
12,box,picture frame,2,3,2,2.333333333
12,box,piggy bank,3,2,2,2.333333333
12,box,place mat,3,3,2,2.666666667
12,box,spaceship,2,2,2,2
13,box,A convenient table,3,1,1,1.666666667
13,box,For use as a turtle shell when making a turtle costume,4,3,3,3.333333333
13,box,The could be cut and turned into a funky pair of shoes,2,3,2,2.333333333
14,box,car,2,1,2,1.666666667
14,box,costume,2,1,2,1.666666667
14,box,fan,2,1,2,1.666666667
14,box,Fort,2,1,2,1.666666667
14,box,friend,2,1,2,1.666666667
14,box,paper towel,2,2,2,2
14,box,plate,2,2,1,1.666666667
14,box,shoes,2,1,1,1.333333333
14,box,spaceship,2,2,2,2
14,box,stencil,3,3,2,2.666666667
14,box,table,2,1,1,1.333333333
15,box,build wings  try to fly,3,2,2,2.333333333
15,box,cardboard robot,2,2,2,2
15,box,cube hat,2,1,2,1.666666667
15,box,flimsy chair,2,2,2,2
15,box,kitten carrying case,3,1,2,2
15,box,make a fort,2,1,2,1.666666667
15,box,no budget dinner table,3,2,1,2
15,box,put more in,1,1,2,1.333333333
15,box,really ugly coat,3,2,2,2.333333333
15,box,rent free house,3,2,2,2.333333333
15,box,tower of inventory,2,2,2,2
17,box,boat,2,1,2,1.666666667
17,box,car,2,1,2,1.666666667
17,box,clubhouse,2,1,2,1.666666667
17,box,coffin,3,2,2,2.333333333
17,box,costume,2,1,2,1.666666667
17,box,crafts,2,1,1,1.333333333
17,box,diorama,1,3,2,2
17,box,doghouse,2,1,2,1.666666667
17,box,furniture,2,1,1,1.333333333
17,box,house,2,1,1,1.333333333
17,box,island,2,1,2,1.666666667
17,box,podium,3,3,2,2.666666667
17,box,shelter,2,1,1,1.333333333
17,box,storage crate,1,1,1,1
17,box,tent,2,2,2,2
17,box,toy chest,1,2,1,1.333333333
17,box,trash can,2,1,1,1.333333333
18,box,bathroom,1,1,2,1.333333333
18,box,boy,1,1,2,1.333333333
18,box,cat,1,1,2,1.333333333
18,box,Box chair,2,1,1,1.333333333
18,box,dog,1,1,2,1.333333333
18,box,door,2,1,2,1.666666667
18,box,fish tank,3,2,2,2.333333333
18,box,flower,1,2,2,1.666666667
18,box,Box for a computer,1,1,1,1
18,box,girl,1,1,1,1
18,box,Box hairstyle,1,1,2,1.333333333
18,box,house,1,1,1,1
18,box,mate,1,1,1,1
18,box,money,1,1,2,1.333333333
18,box,person,1,1,1,1
18,box,phone,1,1,2,1.333333333
18,box,radio,1,2,1,1.333333333
18,box,shoes,2,1,1,1.333333333
18,box,shower curtain,3,3,2,2.666666667
18,box,soap,1,2,2,1.666666667
18,box,television,1,1,1,1
18,box,toilet,1,1,2,1.333333333
18,box,towel,2,2,2,2
18,box,tree,1,1,2,1.333333333
18,box,umbrella,4,3,1,2.666666667
18,box,vase,3,3,2,2.666666667
18,box,water bottle,3,1,2,2
18,box,Creating a car,2,1,2,1.666666667
19,box,flying into outer space to have sex on the moon,2,4,2,2.666666667
19,box,pretending it is a sturdy seat by covering it with a seat cover and allowing people to sit on it,3,2,2,2.333333333
19,box,Using the as a hiding place to protect yourself from aliens,2,3,3,2.666666667
21,box,burn it to ashes,2,2,2,2
21,box,fill it up with spit,1,1,2,1.333333333
21,box,make a game,2,2,2,2
21,box,make a hat,2,1,1,1.333333333
21,box,make a shirt,2,1,2,1.666666667
21,box,make SpongeBob's shorts,5,3,3,3.666666667
21,box,paint it,2,1,1,1.333333333
21,box,plant weed plants,2,2,2,2
21,box,use it as a chair,2,1,1,1.333333333
21,box,use it as a tub,2,2,2,2
22,box,a back straightener,3,3,2,2.666666667
22,box,a bug proof vest,5,4,3,4
22,box,a drum set,5,2,2,3
22,box,a hat,2,1,1,1.333333333
22,box,a jungle gym for bugs,5,4,3,4
22,box,a pet cat named boxy,2,3,3,2.666666667
22,box,a pillow,2,2,2,2
22,box,a plane,2,2,2,2
22,box,a poop shoot,2,1,2,1.666666667
22,box,a punching bag,3,3,2,2.666666667
22,box,a remote control,2,2,2,2
22,box,a shoe,2,1,1,1.333333333
22,box,a toilet,2,1,2,1.666666667
22,box,a toothbrush,2,2,3,2.333333333
22,box,a tote,2,1,1,1.333333333
22,box,a tub,3,1,2,2
22,box,a unicorn,1,1,2,1.333333333
22,box,making a phone or music player louder,3,4,2,3
23,box,You can do anything with a  as long as you have your IMAGINATION,1,1,1,1
23,box,You can hide under a and sneak around in it Everyone will be fooled  if you just stay still for a while,3,3,2,2.666666667
23,box,You can think Outside of the,1,1,4,2
23,box,You can use as parts of a cosplay/costume,2,2,2,2
23,box,You can use to build a fort,2,1,2,1.666666667
23,box,You can wear a large on your back to emulate a turtle,3,3,3,3
24,box,Bookbag use for books,3,1,2,2
24,box,fill with grapes and stomp for juice,5,3,4,4
24,box,fill with jelly and play in,2,3,2,2.333333333
24,box,hat,2,1,1,1.333333333
24,box,live in,2,1,1,1.333333333
24,box,purse,2,2,2,2
24,box,put mail in,1,1,1,1
24,box,sit in,2,1,1,1.333333333
24,box,stuff animals in,2,1,2,1.666666667
24,box,to poop in,2,1,2,1.666666667
24,box,use to throw in a game,2,2,2,2
25,box,A can be used to house a cat,2,1,2,1.666666667
25,box,to help plants grow by adding the material to soil,3,2,3,2.666666667
25,box,to make cardboard clothes,2,1,2,1.666666667
25,box,used to make cardboard book bag,2,2,2,2
26,box,accessories,1,1,1,1
26,box,blanket,3,2,2,2.333333333
