userid,AgeNum,sexe,Condition,timebegin,timeend,value,Valid,J1,J2,J3,CAT
2463, , , ,1643230294381,1643230294627,dfd,0, , , , 
2463, , , ,1643230295315,1643230295658,dfdf,0, , , , 
2463, , , ,1643230296028,1643230296650,dfdfdf,0, , , , 
2463, , , ,1643230297237,1643230297291,df,0, , , , 
2463, , , ,1643230301765,1643230301926,gfgf,0, , , , 
2465, , , ,1644155341001,1644155341582,tyu,0, , , , 
2465, , , ,1644155345306,1644155345669,yyy,0, , , , 
2465, , , ,1644155347552,1644155348019,uio,0, , , , 
2465, , , ,1644155349803,1644155350050,ui,0, , , , 
2465, , , ,1644155365283,1644155365742,uuu,0, , , , 
2465, , , ,1644155376044,1644155376382,ooo,0, , , , 
2466, , , ,1644228867276,1644228878942,Ramasser des sous,1,2,2,5,3
2466, , , ,1644228882963,1644228890920,Pour se protéger du soleil,1,2,1,1,1.33333333333333
2466, , , ,1644228893068,1644228902332,"Pour rattraper de l,eau",1,3,3,4,3.33333333333333
2466, , , ,1644228904342,1644228910389,Pour vendre des fruits,1,5,2,5,4
2466, , , ,1644228917771,1644228925877,Faire cuire un gâteau dedans,1,4,5,5,4.66666666666667
2466, , , ,1644228947173,1644228956899,Pour le lancer sur la tête du voisin,1,4,3,4,3.66666666666667
2466, , , ,1644228959680,1644228968069,Le jeter à la pobelle,1,5,1,2,2.66666666666667
2466, , , ,1644228975420,1644228979486,Mettre de fleurs,1,4,5,5,4.66666666666667
2467, , , ,1644513996063,1644513997584,lancer,1,1,1,2,1.33333333333333
2467, , , ,1644514001714,1644514002735,mettre,1,1,1,1,1
2467, , , ,1644514005916,1644514007839,le prendre,1,1,1,1,1
2467, , , ,1644514011189,1644514013011,le ranger,1,1,1,1,1
2467, , , ,1644514014838,1644514016435,saluer,1,3,2,5,3.33333333333333
2467, , , ,1644514039613,1644514040889,taper,1,2,1,4,2.33333333333333
2467, , , ,1644514053213,1644514056613,le faire rouler,1,4,1,5,3.33333333333333
2467, , , ,1644514067941,1644514069661,le deposer,1,2,1,2,1.66666666666667
2467, , , ,1644514071418,1644514073591,l offrir,1,2,1,4,2.33333333333333
2467, , , ,1644514078992,1644514080961,l acheter,1,2,1,4,2.33333333333333
2467, , , ,1644514089264,1644514091114,le decorer,1,3,1,4,2.66666666666667
2467, , , ,1644514021689,1644514023636,du tissu,1,2,1,2,1.66666666666667
2467, , , ,1644514029488,1644514032113,un manteau,1,1,1,1,1
2467, , , ,1644514103314,1644514106239,petite peluche,1,2,3,2,2.33333333333333
2468, , , ,1644516512466,1644516514964,chaussure,1,3,3,3,3
2468, , , ,1644516517914,1644516521139,aquqrium,1,5,5,5,5
2468, , , ,1644516529736,1644516531562,le lancer,1,1,1,2,1.33333333333333
2468, , , ,1644516537464,1644516539087,le vendre,1,1,1,4,2
