participant ID,object,use_number,use,rater_1,rater_2,rater_3,rater_4,rater_5,rater_6,rater_7,rater_8,rater_9,rater_10,rater_11,rater_12,rater_13,rater_14,rater_15,rater_16,rater_17,rater_18,rater_19,rater_20,rater_21,rater_22,rater_23,rater_24,rater_25,rater_26,rater_27,rater_28,rater_29,rater_30,rater_31,rater_32,rater_33,rater_34,rater_35,rater_36,rater_37,rater_38,rater_39,rater_40,rater_41,rater_42,rater_43,rater_44,rater_45
1637,סכין,1,מזלג,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1637,סכין,2,פותחן בקבוקים,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1637,סכין,3,פותחן קופסאות,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1637,סכין,4,אביזר לשיער,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1637,סכין,5,מתלה לטבעות,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1839,סכין,1,מריחת ממרח,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
1839,סכין,2,גירוד בגוף,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1839,סכין,3,חיתוך קרטון,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1839,סכין,4,כלי תיפוף,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1292,סכין,1,פותחן בקבוקים,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
